MMWR_week,MMWR_year,location,location_name,geo_value,true_value,target_end_date
1,2020,05,Arkansas,ar,0,2019-12-29
1,2020,32,Nevada,nv,528,2019-12-29
1,2021,01,Alabama,al,3098,2021-01-03
1,2021,02,Alaska,ak,63,2021-01-03
1,2021,04,Arizona,az,4262,2021-01-03
1,2021,05,Arkansas,ar,1285,2021-01-03
1,2021,06,California,ca,16358,2021-01-03
1,2021,08,Colorado,co,967,2021-01-03
1,2021,09,Connecticut,ct,1074,2021-01-03
1,2021,10,Delaware,de,379,2021-01-03
1,2021,11,District of Columbia,dc,261,2021-01-03
1,2021,12,Florida,fl,8070,2021-01-03
1,2021,13,Georgia,ga,5765,2021-01-03
1,2021,15,Hawaii,hi,77,2021-01-03
1,2021,16,Idaho,id,324,2021-01-03
1,2021,17,Illinois,il,2855,2021-01-03
1,2021,18,Indiana,in,2368,2021-01-03
1,2021,19,Iowa,ia,602,2021-01-03
1,2021,20,Kansas,ks,969,2021-01-03
1,2021,21,Kentucky,ky,3028,2021-01-03
1,2021,22,Louisiana,la,1996,2021-01-03
1,2021,23,Maine,me,125,2021-01-03
1,2021,24,Maryland,md,1789,2021-01-03
1,2021,25,Massachusetts,ma,1947,2021-01-03
1,2021,26,Michigan,mi,2063,2021-01-03
1,2021,27,Minnesota,mn,701,2021-01-03
1,2021,28,Mississippi,ms,1133,2021-01-03
1,2021,29,Missouri,mo,1896,2021-01-03
1,2021,30,Montana,mt,275,2021-01-03
1,2021,31,Nebraska,ne,410,2021-01-03
1,2021,32,Nevada,nv,1170,2021-01-03
1,2021,33,New Hampshire,nh,260,2021-01-03
1,2021,34,New Jersey,nj,2980,2021-01-03
1,2021,35,New Mexico,nm,707,2021-01-03
1,2021,36,New York,ny,7810,2021-01-03
1,2021,37,North Carolina,nc,3206,2021-01-03
1,2021,38,North Dakota,nd,111,2021-01-03
1,2021,39,Ohio,oh,3978,2021-01-03
1,2021,40,Oklahoma,ok,2807,2021-01-03
1,2021,41,Oregon,or,411,2021-01-03
1,2021,42,Pennsylvania,pa,4203,2021-01-03
1,2021,44,Rhode Island,ri,229,2021-01-03
1,2021,45,South Carolina,sc,1928,2021-01-03
1,2021,46,South Dakota,sd,163,2021-01-03
1,2021,47,Tennessee,tn,2550,2021-01-03
1,2021,48,Texas,tx,13394,2021-01-03
1,2021,49,Utah,ut,652,2021-01-03
1,2021,50,Vermont,vt,63,2021-01-03
1,2021,51,Virginia,va,2162,2021-01-03
1,2021,53,Washington,wa,708,2021-01-03
1,2021,54,West Virginia,wv,630,2021-01-03
1,2021,55,Wisconsin,wi,1686,2021-01-03
1,2021,56,Wyoming,wy,118,2021-01-03
1,2021,72,Puerto Rico,pr,180,2021-01-03
1,2021,78,Virgin Islands,NA,0,2021-01-03
1,2021,US,United States,us,116246,2021-01-03
1,2022,01,Alabama,al,1888,2022-01-02
1,2022,02,Alaska,ak,93,2022-01-02
1,2022,04,Arizona,az,2732,2022-01-02
1,2022,05,Arkansas,ar,1078,2022-01-02
1,2022,06,California,ca,11758,2022-01-02
1,2022,08,Colorado,co,2404,2022-01-02
1,2022,09,Connecticut,ct,1988,2022-01-02
1,2022,10,Delaware,de,699,2022-01-02
1,2022,11,District of Columbia,dc,605,2022-01-02
1,2022,12,Florida,fl,13708,2022-01-02
1,2022,13,Georgia,ga,5921,2022-01-02
1,2022,15,Hawaii,hi,359,2022-01-02
1,2022,16,Idaho,id,320,2022-01-02
1,2022,17,Illinois,il,6366,2022-01-02
1,2022,18,Indiana,in,3172,2022-01-02
1,2022,19,Iowa,ia,1059,2022-01-02
1,2022,20,Kansas,ks,1078,2022-01-02
1,2022,21,Kentucky,ky,1454,2022-01-02
1,2022,22,Louisiana,la,2242,2022-01-02
1,2022,23,Maine,me,251,2022-01-02
1,2022,24,Maryland,md,3368,2022-01-02
1,2022,25,Massachusetts,ma,2608,2022-01-02
1,2022,26,Michigan,mi,3979,2022-01-02
1,2022,27,Minnesota,mn,1303,2022-01-02
1,2022,28,Mississippi,ms,1142,2022-01-02
1,2022,29,Missouri,mo,2607,2022-01-02
1,2022,30,Montana,mt,344,2022-01-02
1,2022,31,Nebraska,ne,458,2022-01-02
1,2022,32,Nevada,nv,1289,2022-01-02
1,2022,33,New Hampshire,nh,323,2022-01-02
1,2022,34,New Jersey,nj,6296,2022-01-02
1,2022,35,New Mexico,nm,532,2022-01-02
1,2022,36,New York,ny,11952,2022-01-02
1,2022,37,North Carolina,nc,3399,2022-01-02
1,2022,38,North Dakota,nd,173,2022-01-02
1,2022,39,Ohio,oh,7184,2022-01-02
1,2022,40,Oklahoma,ok,1771,2022-01-02
1,2022,41,Oregon,or,556,2022-01-02
1,2022,42,Pennsylvania,pa,6261,2022-01-02
1,2022,44,Rhode Island,ri,364,2022-01-02
1,2022,45,South Carolina,sc,1974,2022-01-02
1,2022,46,South Dakota,sd,288,2022-01-02
1,2022,47,Tennessee,tn,2436,2022-01-02
1,2022,48,Texas,tx,12343,2022-01-02
1,2022,49,Utah,ut,674,2022-01-02
1,2022,50,Vermont,vt,123,2022-01-02
1,2022,51,Virginia,va,3369,2022-01-02
