geo_value,time_value,weekly_hosp
Alameda,2020-03-28,0
Alameda,2020-04-04,0
Alameda,2020-04-11,0
Alameda,2020-04-18,0
Alameda,2020-04-25,0
Alameda,2020-05-02,0
Alameda,2020-05-09,0
Alameda,2020-05-16,0
Alameda,2020-05-23,0
Alameda,2020-05-30,0
Alameda,2020-06-06,0
Alameda,2020-06-13,0
Alameda,2020-06-20,0
Alameda,2020-06-27,0
Alameda,2020-07-04,0
Alameda,2020-07-11,21
Alameda,2020-07-18,72
Alameda,2020-07-25,107
Alameda,2020-08-01,94
Alameda,2020-08-08,112
Alameda,2020-08-15,107
Alameda,2020-08-22,138
Alameda,2020-08-29,98
Alameda,2020-09-05,84
Alameda,2020-09-12,65
Alameda,2020-09-19,55
Alameda,2020-09-26,63
Alameda,2020-10-03,48
Alameda,2020-10-10,44
Alameda,2020-10-17,36
Alameda,2020-10-24,36
Alameda,2020-10-31,45
Alameda,2020-11-07,122
Alameda,2020-11-14,117
Alameda,2020-11-21,170
Alameda,2020-11-28,208
Alameda,2020-12-05,287
Alameda,2020-12-12,355
Alameda,2020-12-19,364
Alameda,2020-12-26,363
Alameda,2021-01-02,389
Alameda,2021-01-09,389
Alameda,2021-01-16,332
Alameda,2021-01-23,292
Alameda,2021-01-30,213
Alameda,2021-02-06,175
Alameda,2021-02-13,140
Alameda,2021-02-20,140
Alameda,2021-02-27,113
Alameda,2021-03-06,94
Alameda,2021-03-13,77
Alameda,2021-03-20,66
Alameda,2021-03-27,66
Alameda,2021-04-03,57
Alameda,2021-04-10,55
Alameda,2021-04-17,65
Alameda,2021-04-24,67
Alameda,2021-05-01,56
Alameda,2021-05-08,64
Alameda,2021-05-15,48
Alameda,2021-05-22,27
Alameda,2021-05-29,12
Alameda,2021-06-05,20
Alameda,2021-06-12,36
Alameda,2021-06-19,33
Alameda,2021-06-26,51
Alameda,2021-07-03,54
Alameda,2021-07-10,75
Alameda,2021-07-17,136
Alameda,2021-07-24,168
Alameda,2021-07-31,205
Alameda,2021-08-07,227
Alameda,2021-08-14,173
Alameda,2021-08-21,219
Alameda,2021-08-28,171
Alameda,2021-09-04,138
Alameda,2021-09-11,96
Alameda,2021-09-18,110
Alameda,2021-09-25,65
Alameda,2021-10-02,47
Alameda,2021-10-09,45
Alameda,2021-10-16,57
Alameda,2021-10-23,53
Alameda,2021-10-30,37
Alameda,2021-11-06,25
Alameda,2021-11-13,22
Alameda,2021-11-20,37
Alameda,2021-11-27,47
Alameda,2021-12-04,53
Alameda,2021-12-11,60
Alameda,2021-12-18,72
Alameda,2021-12-25,194
Alameda,2022-01-01,394
Alameda,2022-01-08,499
Alameda,2022-01-15,552
Alameda,2022-01-22,464
Alameda,2022-01-29,394
Alameda,2022-02-05,318
Alameda,2022-02-12,206
Alameda,2022-02-19,119
Alameda,2022-02-26,105
Alameda,2022-03-05,79
Alameda,2022-03-12,54
Alameda,2022-03-19,44
Alameda,2022-03-26,31
Alameda,2022-04-02,37
Alameda,2022-04-09,28
Alameda,2022-04-16,59
Alameda,2022-04-23,50
Alameda,2022-04-30,74
Alameda,2022-05-07,67
Alameda,2022-05-14,109
Alameda,2022-05-21,134
Alameda,2022-05-28,149
Alameda,2022-06-04,164
Alameda,2022-06-11,138
Alameda,2022-06-18,190
Alameda,2022-06-25,182
Alameda,2022-07-02,210
Alameda,2022-07-09,217
Alameda,2022-07-16,200
Alameda,2022-07-23,238
Alameda,2022-07-30,195
Alameda,2022-08-06,201
Alameda,2022-08-13,157
Alameda,2022-08-20,133
Alameda,2022-08-27,107
Alameda,2022-09-03,118
Alameda,2022-09-10,108
Alameda,2022-09-17,83
Alameda,2022-09-24,79
Alameda,2022-10-01,56
Alameda,2022-10-08,76
Alameda,2022-10-15,72
Alameda,2022-10-22,71
Alameda,2022-10-29,81
Alameda,2022-11-05,94
Alameda,2022-11-12,87
Alameda,2022-11-19,127
Alameda,2022-11-26,152
Alameda,2022-12-03,205
Alameda,2022-12-10,193
Alameda,2022-12-17,189
Alameda,2022-12-24,201
Alameda,2022-12-31,201
Alameda,2023-01-07,178
Alameda,2023-01-14,142
Alameda,2023-01-21,104
Alameda,2023-01-28,115
Alameda,2023-02-04,139
Alameda,2023-02-11,175
Alameda,2023-02-18,136
Alameda,2023-02-25,174
Alameda,2023-03-04,155
Alameda,2023-03-11,135
Alameda,2023-03-18,146
Alameda,2023-03-25,137
Alameda,2023-04-01,126
Alameda,2023-04-08,116
Alameda,2023-04-15,131
Alameda,2023-04-22,117
Alameda,2023-04-29,73
Alameda,2023-05-06,85
Alameda,2023-05-13,82
Alameda,2023-05-20,73
Alameda,2023-05-27,87
Alameda,2023-06-03,84
Alameda,2023-06-10,79
Alameda,2023-06-17,65
Alameda,2023-06-24,69
Alameda,2023-07-01,77
Alameda,2023-07-08,84
Alameda,2023-07-15,77
Alameda,2023-07-22,95
Alameda,2023-07-29,104
Alameda,2023-08-05,119
Alameda,2023-08-12,159
Alameda,2023-08-19,168
Alameda,2023-08-26,169
Alameda,2023-09-02,141
Alameda,2023-09-09,156
Alameda,2023-09-16,145
Alameda,2023-09-23,149
Alameda,2023-09-30,131
Alameda,2023-10-07,120
Alameda,2023-10-14,112
Alameda,2023-10-21,90
Alameda,2023-10-28,111
Alameda,2023-11-04,96
Alameda,2023-11-11,104
Alameda,2023-11-18,105
Alameda,2023-11-25,134
Alameda,2023-12-02,140
Alameda,2023-12-09,142
Alameda,2023-12-16,139
Alameda,2023-12-23,166
Alameda,2023-12-30,193
Alameda,2024-01-06,191
Alameda,2024-01-13,150
Alameda,2024-01-20,115
Alameda,2024-01-27,132
Alameda,2024-02-03,114
Alameda,2024-02-10,89
Alameda,2024-02-17,113
Alameda,2024-02-24,91
Alameda,2024-03-02,71
Alameda,2024-03-09,75
Alameda,2024-03-16,68
Alameda,2024-03-23,55
Alameda,2024-03-30,48
Alameda,2024-04-06,56
Alameda,2024-04-13,60
Alameda,2024-04-20,23
Amador,2020-03-28,0
Amador,2020-04-04,0
Amador,2020-04-11,0
Amador,2020-04-18,0
Amador,2020-04-25,0
Amador,2020-05-02,0
