,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,pct_ed_visits_covid,202239,202551,168,1.61,,,state,nssp
1,al,pct_ed_visits_covid,202239,202551,168,1.02,,,state,nssp
2,ar,pct_ed_visits_covid,202239,202551,168,0.98,,,state,nssp
3,az,pct_ed_visits_covid,202239,202551,168,1.63,,,state,nssp
4,ca,pct_ed_visits_covid,202239,202551,168,1.18,,,state,nssp
5,co,pct_ed_visits_covid,202239,202551,168,1.61,,,state,nssp
6,ct,pct_ed_visits_covid,202239,202551,168,3.37,,,state,nssp
7,dc,pct_ed_visits_covid,202239,202551,168,1.75,,,state,nssp
8,de,pct_ed_visits_covid,202239,202551,168,2.68,,,state,nssp
9,fl,pct_ed_visits_covid,202239,202551,168,1.52,,,state,nssp
10,ga,pct_ed_visits_covid,202239,202551,168,0.58,,,state,nssp
11,hi,pct_ed_visits_covid,202239,202551,168,2.9,,,state,nssp
12,ia,pct_ed_visits_covid,202239,202551,168,2.7,,,state,nssp
13,id,pct_ed_visits_covid,202239,202551,168,2.35,,,state,nssp
14,il,pct_ed_visits_covid,202239,202551,168,1.81,,,state,nssp
15,in,pct_ed_visits_covid,202239,202551,168,1.45,,,state,nssp
16,ks,pct_ed_visits_covid,202239,202551,168,1.72,,,state,nssp
17,ky,pct_ed_visits_covid,202239,202551,168,1.78,,,state,nssp
18,la,pct_ed_visits_covid,202239,202551,168,1.1,,,state,nssp
19,ma,pct_ed_visits_covid,202239,202551,168,3.23,,,state,nssp
20,md,pct_ed_visits_covid,202239,202551,168,2.24,,,state,nssp
21,me,pct_ed_visits_covid,202239,202551,168,4.04,,,state,nssp
22,mi,pct_ed_visits_covid,202239,202551,168,3.11,,,state,nssp
23,mn,pct_ed_visits_covid,202239,202551,168,2.3,,,state,nssp
24,ms,pct_ed_visits_covid,202239,202551,168,1.04,,,state,nssp
25,mt,pct_ed_visits_covid,202239,202551,168,2.94,,,state,nssp
26,nc,pct_ed_visits_covid,202239,202551,168,2.65,,,state,nssp
27,nd,pct_ed_visits_covid,202239,202551,168,2.51,,,state,nssp
28,ne,pct_ed_visits_covid,202239,202551,168,1.26,,,state,nssp
29,nh,pct_ed_visits_covid,202239,202551,168,2.73,,,state,nssp
30,nj,pct_ed_visits_covid,202239,202551,168,2.76,,,state,nssp
31,nm,pct_ed_visits_covid,202239,202551,168,2.13,,,state,nssp
32,nv,pct_ed_visits_covid,202239,202551,168,1.43,,,state,nssp
33,ny,pct_ed_visits_covid,202239,202551,168,2.26,,,state,nssp
34,oh,pct_ed_visits_covid,202239,202551,168,1.84,,,state,nssp
35,ok,pct_ed_visits_covid,202239,202551,168,1.2,,,state,nssp
36,or,pct_ed_visits_covid,202239,202551,168,2.42,,,state,nssp
37,pa,pct_ed_visits_covid,202239,202551,168,2.18,,,state,nssp
38,ri,pct_ed_visits_covid,202239,202551,168,2.48,,,state,nssp
39,sc,pct_ed_visits_covid,202239,202551,168,1.39,,,state,nssp
40,sd,pct_ed_visits_covid,202239,202551,168,1.43,,,state,nssp
41,tn,pct_ed_visits_covid,202239,202551,168,1.19,,,state,nssp
42,tx,pct_ed_visits_covid,202239,202551,168,1.02,,,state,nssp
43,ut,pct_ed_visits_covid,202239,202551,168,1.88,,,state,nssp
44,va,pct_ed_visits_covid,202239,202551,168,2.08,,,state,nssp
45,vt,pct_ed_visits_covid,202239,202551,168,3.66,,,state,nssp
46,wa,pct_ed_visits_covid,202239,202551,168,2.84,,,state,nssp
47,wi,pct_ed_visits_covid,202239,202551,168,2.06,,,state,nssp
48,wv,pct_ed_visits_covid,202239,202551,168,2.56,,,state,nssp
49,wy,pct_ed_visits_covid,202239,202551,168,2.88,,,state,nssp
50,ak,pct_ed_visits_covid,202240,202551,167,1.31,,,state,nssp
51,al,pct_ed_visits_covid,202240,202551,167,0.98,,,state,nssp
52,ar,pct_ed_visits_covid,202240,202551,167,0.94,,,state,nssp
53,az,pct_ed_visits_covid,202240,202551,167,1.61,,,state,nssp
54,ca,pct_ed_visits_covid,202240,202551,167,1.1,,,state,nssp
55,co,pct_ed_visits_covid,202240,202551,167,1.54,,,state,nssp
56,ct,pct_ed_visits_covid,202240,202551,167,3.33,,,state,nssp
57,dc,pct_ed_visits_covid,202240,202551,167,1.44,,,state,nssp
58,de,pct_ed_visits_covid,202240,202551,167,2.37,,,state,nssp
59,fl,pct_ed_visits_covid,202240,202551,167,1.14,,,state,nssp
60,ga,pct_ed_visits_covid,202240,202551,167,0.49,,,state,nssp
61,hi,pct_ed_visits_covid,202240,202551,167,2.48,,,state,nssp
62,ia,pct_ed_visits_covid,202240,202551,167,2.61,,,state,nssp
63,id,pct_ed_visits_covid,202240,202551,167,1.85,,,state,nssp
64,il,pct_ed_visits_covid,202240,202551,167,1.8,,,state,nssp
65,in,pct_ed_visits_covid,202240,202551,167,1.53,,,state,nssp
66,ks,pct_ed_visits_covid,202240,202551,167,1.51,,,state,nssp
67,ky,pct_ed_visits_covid,202240,202551,167,1.77,,,state,nssp
68,la,pct_ed_visits_covid,202240,202551,167,1.0,,,state,nssp
69,ma,pct_ed_visits_covid,202240,202551,167,3.4,,,state,nssp
70,md,pct_ed_visits_covid,202240,202551,167,2.05,,,state,nssp
71,me,pct_ed_visits_covid,202240,202551,167,3.92,,,state,nssp
72,mi,pct_ed_visits_covid,202240,202551,167,3.05,,,state,nssp
73,mn,pct_ed_visits_covid,202240,202551,167,2.1,,,state,nssp
74,ms,pct_ed_visits_covid,202240,202551,167,0.88,,,state,nssp
75,mt,pct_ed_visits_covid,202240,202551,167,2.58,,,state,nssp
76,nc,pct_ed_visits_covid,202240,202551,167,2.18,,,state,nssp
77,nd,pct_ed_visits_covid,202240,202551,167,2.82,,,state,nssp
78,ne,pct_ed_visits_covid,202240,202551,167,1.05,,,state,nssp
79,nh,pct_ed_visits_covid,202240,202551,167,3.3,,,state,nssp
80,nj,pct_ed_visits_covid,202240,202551,167,2.58,,,state,nssp
81,nm,pct_ed_visits_covid,202240,202551,167,2.2,,,state,nssp
82,nv,pct_ed_visits_covid,202240,202551,167,1.31,,,state,nssp
83,ny,pct_ed_visits_covid,202240,202551,167,2.18,,,state,nssp
84,oh,pct_ed_visits_covid,202240,202551,167,1.65,,,state,nssp
85,ok,pct_ed_visits_covid,202240,202551,167,1.29,,,state,nssp
86,or,pct_ed_visits_covid,202240,202551,167,2.1,,,state,nssp
87,pa,pct_ed_visits_covid,202240,202551,167,2.01,,,state,nssp
88,ri,pct_ed_visits_covid,202240,202551,167,2.53,,,state,nssp
89,sc,pct_ed_visits_covid,202240,202551,167,1.25,,,state,nssp
90,sd,pct_ed_visits_covid,202240,202551,167,1.27,,,state,nssp
91,tn,pct_ed_visits_covid,202240,202551,167,1.1,,,state,nssp
92,tx,pct_ed_visits_covid,202240,202551,167,0.85,,,state,nssp
93,ut,pct_ed_visits_covid,202240,202551,167,1.41,,,state,nssp
94,va,pct_ed_visits_covid,202240,202551,167,1.94,,,state,nssp
95,vt,pct_ed_visits_covid,202240,202551,167,4.15,,,state,nssp
96,wa,pct_ed_visits_covid,202240,202551,167,2.31,,,state,nssp
97,wi,pct_ed_visits_covid,202240,202551,167,2.14,,,state,nssp
98,wv,pct_ed_visits_covid,202240,202551,167,1.96,,,state,nssp
99,wy,pct_ed_visits_covid,202240,202551,167,2.19,,,state,nssp
100,ak,pct_ed_visits_covid,202241,202551,166,1.48,,,state,nssp
101,al,pct_ed_visits_covid,202241,202551,166,0.91,,,state,nssp
102,ar,pct_ed_visits_covid,202241,202551,166,1.03,,,state,nssp
103,az,pct_ed_visits_covid,202241,202551,166,1.56,,,state,nssp
104,ca,pct_ed_visits_covid,202241,202551,166,1.03,,,state,nssp
105,co,pct_ed_visits_covid,202241,202551,166,1.7,,,state,nssp
106,ct,pct_ed_visits_covid,202241,202551,166,3.09,,,state,nssp
107,dc,pct_ed_visits_covid,202241,202551,166,1.23,,,state,nssp
108,de,pct_ed_visits_covid,202241,202551,166,2.26,,,state,nssp
109,fl,pct_ed_visits_covid,202241,202551,166,1.06,,,state,nssp
110,ga,pct_ed_visits_covid,202241,202551,166,0.48,,,state,nssp
111,hi,pct_ed_visits_covid,202241,202551,166,2.14,,,state,nssp
