,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,us,pct_ed_visits_covid,202239,202551,168,1.84,,,nation,nssp
1,us,pct_ed_visits_covid,202240,202551,167,1.68,,,nation,nssp
2,us,pct_ed_visits_covid,202241,202551,166,1.63,,,nation,nssp
3,us,pct_ed_visits_covid,202242,202551,165,1.61,,,nation,nssp
4,us,pct_ed_visits_covid,202243,202551,164,1.67,,,nation,nssp
5,us,pct_ed_visits_covid,202244,202551,163,1.72,,,nation,nssp
6,us,pct_ed_visits_covid,202245,202551,162,1.7,,,nation,nssp
7,us,pct_ed_visits_covid,202246,202551,161,1.76,,,nation,nssp
8,us,pct_ed_visits_covid,202247,202551,160,2.25,,,nation,nssp
9,us,pct_ed_visits_covid,202248,202551,159,2.6,,,nation,nssp
10,us,pct_ed_visits_covid,202249,202551,158,2.72,,,nation,nssp
11,us,pct_ed_visits_covid,202250,202551,157,2.9,,,nation,nssp
12,us,pct_ed_visits_covid,202251,202551,156,3.28,,,nation,nssp
13,us,pct_ed_visits_covid,202252,202551,155,3.8,,,nation,nssp
14,us,pct_ed_visits_covid,202301,202551,154,3.32,,,nation,nssp
15,us,pct_ed_visits_covid,202302,202551,153,2.58,,,nation,nssp
16,us,pct_ed_visits_covid,202303,202551,152,2.3,,,nation,nssp
17,us,pct_ed_visits_covid,202304,202551,151,2.13,,,nation,nssp
18,us,pct_ed_visits_covid,202305,202551,150,2.06,,,nation,nssp
19,us,pct_ed_visits_covid,202306,202551,149,1.95,,,nation,nssp
20,us,pct_ed_visits_covid,202307,202551,148,1.84,,,nation,nssp
21,us,pct_ed_visits_covid,202308,202551,147,1.73,,,nation,nssp
22,us,pct_ed_visits_covid,202309,202551,146,1.51,,,nation,nssp
23,us,pct_ed_visits_covid,202310,202551,145,1.32,,,nation,nssp
24,us,pct_ed_visits_covid,202311,202551,144,1.22,,,nation,nssp
25,us,pct_ed_visits_covid,202312,202551,143,1.17,,,nation,nssp
26,us,pct_ed_visits_covid,202313,202551,142,1.09,,,nation,nssp
27,us,pct_ed_visits_covid,202314,202551,141,1.0,,,nation,nssp
28,us,pct_ed_visits_covid,202315,202551,140,0.91,,,nation,nssp
29,us,pct_ed_visits_covid,202316,202551,139,0.77,,,nation,nssp
30,us,pct_ed_visits_covid,202317,202551,138,0.7,,,nation,nssp
31,us,pct_ed_visits_covid,202318,202551,137,0.67,,,nation,nssp
32,us,pct_ed_visits_covid,202319,202551,136,0.63,,,nation,nssp
33,us,pct_ed_visits_covid,202320,202551,135,0.58,,,nation,nssp
34,us,pct_ed_visits_covid,202321,202551,134,0.55,,,nation,nssp
35,us,pct_ed_visits_covid,202322,202551,133,0.56,,,nation,nssp
36,us,pct_ed_visits_covid,202323,202551,132,0.49,,,nation,nssp
37,us,pct_ed_visits_covid,202324,202551,131,0.49,,,nation,nssp
38,us,pct_ed_visits_covid,202325,202551,130,0.51,,,nation,nssp
39,us,pct_ed_visits_covid,202326,202551,129,0.54,,,nation,nssp
40,us,pct_ed_visits_covid,202327,202551,128,0.61,,,nation,nssp
41,us,pct_ed_visits_covid,202328,202551,127,0.68,,,nation,nssp
42,us,pct_ed_visits_covid,202329,202551,126,0.83,,,nation,nssp
43,us,pct_ed_visits_covid,202330,202551,125,1.04,,,nation,nssp
44,us,pct_ed_visits_covid,202331,202551,124,1.3,,,nation,nssp
45,us,pct_ed_visits_covid,202332,202551,123,1.59,,,nation,nssp
46,us,pct_ed_visits_covid,202333,202551,122,1.97,,,nation,nssp
47,us,pct_ed_visits_covid,202334,202551,121,2.41,,,nation,nssp
48,us,pct_ed_visits_covid,202335,202551,120,2.47,,,nation,nssp
49,us,pct_ed_visits_covid,202336,202551,119,2.42,,,nation,nssp
50,us,pct_ed_visits_covid,202337,202551,118,2.06,,,nation,nssp
51,us,pct_ed_visits_covid,202338,202551,117,1.89,,,nation,nssp
52,us,pct_ed_visits_covid,202339,202551,116,1.69,,,nation,nssp
53,us,pct_ed_visits_covid,202340,202551,115,1.47,,,nation,nssp
54,us,pct_ed_visits_covid,202341,202551,114,1.35,,,nation,nssp
55,us,pct_ed_visits_covid,202342,202551,113,1.36,,,nation,nssp
56,us,pct_ed_visits_covid,202343,202551,112,1.36,,,nation,nssp
57,us,pct_ed_visits_covid,202344,202551,111,1.33,,,nation,nssp
58,us,pct_ed_visits_covid,202345,202551,110,1.51,,,nation,nssp
59,us,pct_ed_visits_covid,202346,202551,109,1.61,,,nation,nssp
60,us,pct_ed_visits_covid,202347,202551,108,1.89,,,nation,nssp
61,us,pct_ed_visits_covid,202348,202551,107,2.06,,,nation,nssp
62,us,pct_ed_visits_covid,202349,202551,106,2.11,,,nation,nssp
63,us,pct_ed_visits_covid,202350,202551,105,2.35,,,nation,nssp
64,us,pct_ed_visits_covid,202351,202551,104,2.81,,,nation,nssp
65,us,pct_ed_visits_covid,202352,202551,103,3.42,,,nation,nssp
66,us,pct_ed_visits_covid,202401,202551,102,3.12,,,nation,nssp
67,us,pct_ed_visits_covid,202402,202551,101,2.63,,,nation,nssp
68,us,pct_ed_visits_covid,202403,202551,100,2.28,,,nation,nssp
69,us,pct_ed_visits_covid,202404,202551,99,2.1,,,nation,nssp
70,us,pct_ed_visits_covid,202405,202551,98,1.97,,,nation,nssp
71,us,pct_ed_visits_covid,202406,202551,97,1.94,,,nation,nssp
72,us,pct_ed_visits_covid,202407,202551,96,1.77,,,nation,nssp
73,us,pct_ed_visits_covid,202408,202551,95,1.57,,,nation,nssp
74,us,pct_ed_visits_covid,202409,202551,94,1.29,,,nation,nssp
75,us,pct_ed_visits_covid,202410,202551,93,1.01,,,nation,nssp
76,us,pct_ed_visits_covid,202411,202551,92,0.79,,,nation,nssp
77,us,pct_ed_visits_covid,202412,202551,91,0.65,,,nation,nssp
78,us,pct_ed_visits_covid,202413,202551,90,0.59,,,nation,nssp
79,us,pct_ed_visits_covid,202414,202551,89,0.52,,,nation,nssp
80,us,pct_ed_visits_covid,202415,202551,88,0.44,,,nation,nssp
81,us,pct_ed_visits_covid,202416,202551,87,0.38,,,nation,nssp
82,us,pct_ed_visits_covid,202417,202551,86,0.35,,,nation,nssp
83,us,pct_ed_visits_covid,202418,202551,85,0.34,,,nation,nssp
84,us,pct_ed_visits_covid,202419,202551,84,0.33,,,nation,nssp
85,us,pct_ed_visits_covid,202420,202551,83,0.38,,,nation,nssp
86,us,pct_ed_visits_covid,202421,202551,82,0.41,,,nation,nssp
87,us,pct_ed_visits_covid,202422,202551,81,0.5,,,nation,nssp
88,us,pct_ed_visits_covid,202423,202551,80,0.58,,,nation,nssp
89,us,pct_ed_visits_covid,202424,202551,79,0.7,,,nation,nssp
90,us,pct_ed_visits_covid,202425,202551,78,0.9,,,nation,nssp
91,us,pct_ed_visits_covid,202426,202551,77,1.08,,,nation,nssp
92,us,pct_ed_visits_covid,202427,202551,76,1.39,,,nation,nssp
93,us,pct_ed_visits_covid,202428,202551,75,1.66,,,nation,nssp
94,us,pct_ed_visits_covid,202429,202551,74,1.97,,,nation,nssp
95,us,pct_ed_visits_covid,202430,202551,73,2.28,,,nation,nssp
96,us,pct_ed_visits_covid,202431,202551,72,2.5,,,nation,nssp
97,us,pct_ed_visits_covid,202432,202551,71,2.56,,,nation,nssp
98,us,pct_ed_visits_covid,202433,202551,70,2.6,,,nation,nssp
99,us,pct_ed_visits_covid,202434,202551,69,2.62,,,nation,nssp
100,us,pct_ed_visits_covid,202435,202551,68,2.44,,,nation,nssp
101,us,pct_ed_visits_covid,202436,202551,67,2.12,,,nation,nssp
102,us,pct_ed_visits_covid,202437,202551,66,1.77,,,nation,nssp
103,us,pct_ed_visits_covid,202438,202551,65,1.44,,,nation,nssp
104,us,pct_ed_visits_covid,202439,202551,64,1.11,,,nation,nssp
105,us,pct_ed_visits_covid,202440,202551,63,0.85,,,nation,nssp
106,us,pct_ed_visits_covid,202441,202551,62,0.7,,,nation,nssp
107,us,pct_ed_visits_covid,202442,202551,61,0.61,,,nation,nssp
108,us,pct_ed_visits_covid,202443,202551,60,0.59,,,nation,nssp
