,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,us,pct_ed_visits_influenza,202239,202551,168,0.48,,,nation,nssp
1,us,pct_ed_visits_influenza,202240,202551,167,0.67,,,nation,nssp
2,us,pct_ed_visits_influenza,202241,202551,166,0.9,,,nation,nssp
3,us,pct_ed_visits_influenza,202242,202551,165,1.29,,,nation,nssp
4,us,pct_ed_visits_influenza,202243,202551,164,2.47,,,nation,nssp
5,us,pct_ed_visits_influenza,202244,202551,163,3.67,,,nation,nssp
6,us,pct_ed_visits_influenza,202245,202551,162,3.87,,,nation,nssp
7,us,pct_ed_visits_influenza,202246,202551,161,4.24,,,nation,nssp
8,us,pct_ed_visits_influenza,202247,202551,160,6.67,,,nation,nssp
9,us,pct_ed_visits_influenza,202248,202551,159,6.18,,,nation,nssp
10,us,pct_ed_visits_influenza,202249,202551,158,5.7,,,nation,nssp
11,us,pct_ed_visits_influenza,202250,202551,157,5.14,,,nation,nssp
12,us,pct_ed_visits_influenza,202251,202551,156,4.53,,,nation,nssp
13,us,pct_ed_visits_influenza,202252,202551,155,3.6,,,nation,nssp
14,us,pct_ed_visits_influenza,202301,202551,154,1.96,,,nation,nssp
15,us,pct_ed_visits_influenza,202302,202551,153,1.01,,,nation,nssp
16,us,pct_ed_visits_influenza,202303,202551,152,0.71,,,nation,nssp
17,us,pct_ed_visits_influenza,202304,202551,151,0.55,,,nation,nssp
18,us,pct_ed_visits_influenza,202305,202551,150,0.47,,,nation,nssp
19,us,pct_ed_visits_influenza,202306,202551,149,0.4,,,nation,nssp
20,us,pct_ed_visits_influenza,202307,202551,148,0.36,,,nation,nssp
21,us,pct_ed_visits_influenza,202308,202551,147,0.34,,,nation,nssp
22,us,pct_ed_visits_influenza,202309,202551,146,0.3,,,nation,nssp
23,us,pct_ed_visits_influenza,202310,202551,145,0.28,,,nation,nssp
24,us,pct_ed_visits_influenza,202311,202551,144,0.28,,,nation,nssp
25,us,pct_ed_visits_influenza,202312,202551,143,0.27,,,nation,nssp
26,us,pct_ed_visits_influenza,202313,202551,142,0.27,,,nation,nssp
27,us,pct_ed_visits_influenza,202314,202551,141,0.27,,,nation,nssp
28,us,pct_ed_visits_influenza,202315,202551,140,0.25,,,nation,nssp
29,us,pct_ed_visits_influenza,202316,202551,139,0.23,,,nation,nssp
30,us,pct_ed_visits_influenza,202317,202551,138,0.24,,,nation,nssp
31,us,pct_ed_visits_influenza,202318,202551,137,0.26,,,nation,nssp
32,us,pct_ed_visits_influenza,202319,202551,136,0.27,,,nation,nssp
33,us,pct_ed_visits_influenza,202320,202551,135,0.27,,,nation,nssp
34,us,pct_ed_visits_influenza,202321,202551,134,0.28,,,nation,nssp
35,us,pct_ed_visits_influenza,202322,202551,133,0.29,,,nation,nssp
36,us,pct_ed_visits_influenza,202323,202551,132,0.25,,,nation,nssp
37,us,pct_ed_visits_influenza,202324,202551,131,0.22,,,nation,nssp
38,us,pct_ed_visits_influenza,202325,202551,130,0.2,,,nation,nssp
39,us,pct_ed_visits_influenza,202326,202551,129,0.18,,,nation,nssp
40,us,pct_ed_visits_influenza,202327,202551,128,0.17,,,nation,nssp
41,us,pct_ed_visits_influenza,202328,202551,127,0.16,,,nation,nssp
42,us,pct_ed_visits_influenza,202329,202551,126,0.15,,,nation,nssp
43,us,pct_ed_visits_influenza,202330,202551,125,0.15,,,nation,nssp
44,us,pct_ed_visits_influenza,202331,202551,124,0.16,,,nation,nssp
45,us,pct_ed_visits_influenza,202332,202551,123,0.16,,,nation,nssp
46,us,pct_ed_visits_influenza,202333,202551,122,0.18,,,nation,nssp
47,us,pct_ed_visits_influenza,202334,202551,121,0.22,,,nation,nssp
48,us,pct_ed_visits_influenza,202335,202551,120,0.24,,,nation,nssp
49,us,pct_ed_visits_influenza,202336,202551,119,0.25,,,nation,nssp
50,us,pct_ed_visits_influenza,202337,202551,118,0.26,,,nation,nssp
51,us,pct_ed_visits_influenza,202338,202551,117,0.29,,,nation,nssp
52,us,pct_ed_visits_influenza,202339,202551,116,0.33,,,nation,nssp
53,us,pct_ed_visits_influenza,202340,202551,115,0.38,,,nation,nssp
54,us,pct_ed_visits_influenza,202341,202551,114,0.46,,,nation,nssp
55,us,pct_ed_visits_influenza,202342,202551,113,0.55,,,nation,nssp
56,us,pct_ed_visits_influenza,202343,202551,112,0.66,,,nation,nssp
57,us,pct_ed_visits_influenza,202344,202551,111,0.85,,,nation,nssp
58,us,pct_ed_visits_influenza,202345,202551,110,1.19,,,nation,nssp
59,us,pct_ed_visits_influenza,202346,202551,109,1.41,,,nation,nssp
60,us,pct_ed_visits_influenza,202347,202551,108,1.73,,,nation,nssp
61,us,pct_ed_visits_influenza,202348,202551,107,1.87,,,nation,nssp
62,us,pct_ed_visits_influenza,202349,202551,106,2.55,,,nation,nssp
63,us,pct_ed_visits_influenza,202350,202551,105,3.7,,,nation,nssp
64,us,pct_ed_visits_influenza,202351,202551,104,5.24,,,nation,nssp
65,us,pct_ed_visits_influenza,202352,202551,103,5.85,,,nation,nssp
66,us,pct_ed_visits_influenza,202401,202551,102,4.26,,,nation,nssp
67,us,pct_ed_visits_influenza,202402,202551,101,3.48,,,nation,nssp
68,us,pct_ed_visits_influenza,202403,202551,100,3.27,,,nation,nssp
69,us,pct_ed_visits_influenza,202404,202551,99,3.34,,,nation,nssp
70,us,pct_ed_visits_influenza,202405,202551,98,3.23,,,nation,nssp
71,us,pct_ed_visits_influenza,202406,202551,97,3.19,,,nation,nssp
72,us,pct_ed_visits_influenza,202407,202551,96,3.02,,,nation,nssp
73,us,pct_ed_visits_influenza,202408,202551,95,2.99,,,nation,nssp
74,us,pct_ed_visits_influenza,202409,202551,94,2.79,,,nation,nssp
75,us,pct_ed_visits_influenza,202410,202551,93,2.43,,,nation,nssp
76,us,pct_ed_visits_influenza,202411,202551,92,1.87,,,nation,nssp
77,us,pct_ed_visits_influenza,202412,202551,91,1.51,,,nation,nssp
