geo_value,time_value,value
us,2022-10-01,1.84
us,2022-10-08,1.68
us,2022-10-15,1.63
us,2022-10-22,1.61
us,2022-10-29,1.67
us,2022-11-05,1.72
us,2022-11-12,1.7
us,2022-11-19,1.76
us,2022-11-26,2.25
us,2022-12-03,2.6
us,2022-12-10,2.72
us,2022-12-17,2.9
us,2022-12-24,3.28
us,2022-12-31,3.8
us,2023-01-07,3.32
us,2023-01-14,2.58
us,2023-01-21,2.3
us,2023-01-28,2.13
us,2023-02-04,2.06
us,2023-02-11,1.95
us,2023-02-18,1.84
us,2023-02-25,1.73
us,2023-03-04,1.51
us,2023-03-11,1.32
us,2023-03-18,1.22
us,2023-03-25,1.17
us,2023-04-01,1.09
us,2023-04-08,1
us,2023-04-15,0.91
us,2023-04-22,0.77
us,2023-04-29,0.7
us,2023-05-06,0.67
us,2023-05-13,0.63
us,2023-05-20,0.58
us,2023-05-27,0.55
us,2023-06-03,0.56
us,2023-06-10,0.49
us,2023-06-17,0.49
us,2023-06-24,0.51
us,2023-07-01,0.54
us,2023-07-08,0.61
us,2023-07-15,0.68
us,2023-07-22,0.83
us,2023-07-29,1.04
us,2023-08-05,1.3
us,2023-08-12,1.59
us,2023-08-19,1.97
us,2023-08-26,2.41
us,2023-09-02,2.47
us,2023-09-09,2.42
us,2023-09-16,2.06
us,2023-09-23,1.89
us,2023-09-30,1.69
us,2023-10-07,1.47
us,2023-10-14,1.35
us,2023-10-21,1.36
us,2023-10-28,1.36
us,2023-11-04,1.33
us,2023-11-11,1.51
us,2023-11-18,1.61
us,2023-11-25,1.89
us,2023-12-02,2.06
us,2023-12-09,2.11
us,2023-12-16,2.35
us,2023-12-23,2.81
us,2023-12-30,3.42
us,2024-01-06,3.12
us,2024-01-13,2.63
us,2024-01-20,2.28
us,2024-01-27,2.1
us,2024-02-03,1.97
us,2024-02-10,1.94
us,2024-02-17,1.77
us,2024-02-24,1.57
us,2024-03-02,1.29
us,2024-03-09,1.01
us,2024-03-16,0.79
us,2024-03-23,0.65
us,2024-03-30,0.59
us,2024-04-06,0.52
us,2024-04-13,0.44
us,2024-04-20,0.38
us,2024-04-27,0.35
us,2024-05-04,0.34
us,2024-05-11,0.33
us,2024-05-18,0.38
us,2024-05-25,0.41
us,2024-06-01,0.5
us,2024-06-08,0.58
us,2024-06-15,0.7
us,2024-06-22,0.9
us,2024-06-29,1.08
us,2024-07-06,1.39
us,2024-07-13,1.66
