geo_value,time_value,value
us,2022-10-01,0.48
us,2022-10-08,0.67
us,2022-10-15,0.9
us,2022-10-22,1.29
us,2022-10-29,2.47
us,2022-11-05,3.67
us,2022-11-12,3.87
us,2022-11-19,4.24
us,2022-11-26,6.67
us,2022-12-03,6.18
us,2022-12-10,5.7
us,2022-12-17,5.14
us,2022-12-24,4.53
us,2022-12-31,3.6
us,2023-01-07,1.96
us,2023-01-14,1.01
us,2023-01-21,0.71
us,2023-01-28,0.55
us,2023-02-04,0.47
us,2023-02-11,0.4
us,2023-02-18,0.36
us,2023-02-25,0.34
us,2023-03-04,0.3
us,2023-03-11,0.28
us,2023-03-18,0.28
us,2023-03-25,0.27
us,2023-04-01,0.27
us,2023-04-08,0.27
us,2023-04-15,0.25
us,2023-04-22,0.23
us,2023-04-29,0.24
us,2023-05-06,0.26
us,2023-05-13,0.27
us,2023-05-20,0.27
us,2023-05-27,0.28
us,2023-06-03,0.29
us,2023-06-10,0.25
us,2023-06-17,0.22
us,2023-06-24,0.2
us,2023-07-01,0.18
us,2023-07-08,0.17
us,2023-07-15,0.16
us,2023-07-22,0.15
us,2023-07-29,0.15
us,2023-08-05,0.16
us,2023-08-12,0.16
us,2023-08-19,0.18
us,2023-08-26,0.22
us,2023-09-02,0.24
us,2023-09-09,0.25
us,2023-09-16,0.26
us,2023-09-23,0.29
us,2023-09-30,0.33
us,2023-10-07,0.38
us,2023-10-14,0.46
us,2023-10-21,0.55
us,2023-10-28,0.66
us,2023-11-04,0.85
us,2023-11-11,1.19
us,2023-11-18,1.41
us,2023-11-25,1.73
us,2023-12-02,1.87
us,2023-12-09,2.55
us,2023-12-16,3.7
us,2023-12-23,5.24
us,2023-12-30,5.85
us,2024-01-06,4.26
us,2024-01-13,3.48
us,2024-01-20,3.27
us,2024-01-27,3.34
us,2024-02-03,3.23
us,2024-02-10,3.19
us,2024-02-17,3.02
us,2024-02-24,2.99
us,2024-03-02,2.79
us,2024-03-09,2.43
us,2024-03-16,1.87
us,2024-03-23,1.51
us,2024-03-30,1.43
us,2024-04-06,1.17
us,2024-04-13,0.87
us,2024-04-20,0.65
us,2024-04-27,0.52
us,2024-05-04,0.44
us,2024-05-11,0.34
us,2024-05-18,0.31
us,2024-05-25,0.27
us,2024-06-01,0.26
us,2024-06-08,0.23
us,2024-06-15,0.2
us,2024-06-22,0.19
us,2024-06-29,0.18
us,2024-07-06,0.17
us,2024-07-13,0.15
us,2024-07-20,0.15
us,2024-07-27,0.14
us,2024-08-03,0.14
us,2024-08-10,0.14
us,2024-08-17,0.14
us,2024-08-24,0.16
us,2024-08-31,0.17
us,2024-09-07,0.18
us,2024-09-14,0.19
us,2024-09-21,0.19
us,2024-09-28,0.2
us,2024-10-05,0.2
us,2024-10-12,0.22
us,2024-10-19,0.23
us,2024-10-26,0.28
us,2024-11-02,0.34
us,2024-11-09,0.42
us,2024-11-16,0.51
us,2024-11-23,0.62
us,2024-11-30,0.89
us,2024-12-07,1.07
us,2024-12-14,1.8
us,2024-12-21,3.24
us,2024-12-28,5.44
us,2025-01-04,4.99
us,2025-01-11,4.39
us,2025-01-18,5.45
us,2025-01-25,7.29
us,2025-02-01,8.36
us,2025-02-08,8.22
us,2025-02-15,6.68
us,2025-02-22,5.21
us,2025-03-01,3.98
us,2025-03-08,3.22
us,2025-03-15,2.57
us,2025-03-22,1.84
us,2025-03-29,1.44
us,2025-04-05,1.11
us,2025-04-12,0.83
us,2025-04-19,0.71
us,2025-04-26,0.58
us,2025-05-03,0.43
us,2025-05-10,0.36
us,2025-05-17,0.32
us,2025-05-24,0.28
us,2025-05-31,0.28
us,2025-06-07,0.22
us,2025-06-14,0.19
us,2025-06-21,0.16
us,2025-06-28,0.14
us,2025-07-05,0.13
us,2025-07-12,0.1
us,2025-07-19,0.1
us,2025-07-26,0.1
us,2025-08-02,0.1
us,2025-08-09,0.1
us,2025-08-16,0.11
us,2025-08-23,0.13
us,2025-08-30,0.15
us,2025-09-06,0.16
us,2025-09-13,0.16
us,2025-09-20,0.15
us,2025-09-27,0.16
us,2025-10-04,0.17
us,2025-10-11,0.18
us,2025-10-18,0.2
us,2025-10-25,0.23
us,2025-11-01,0.29
us,2025-11-08,0.42
us,2025-11-15,0.61
us,2025-11-22,0.98
us,2025-11-29,1.45
us,2025-12-06,1.65
us,2025-12-13,2.79
ak,2022-10-01,0.14
al,2022-10-01,1.26
ar,2022-10-01,0.3
az,2022-10-01,0.17
ca,2022-10-01,0.21
co,2022-10-01,0.1
ct,2022-10-01,0.11
dc,2022-10-01,0.1
de,2022-10-01,0.08
fl,2022-10-01,0.67
ga,2022-10-01,1.31
hi,2022-10-01,1.4
ia,2022-10-01,0.24
id,2022-10-01,0.07
il,2022-10-01,0.13
in,2022-10-01,0.21
ks,2022-10-01,0.09
ky,2022-10-01,0.14
la,2022-10-01,1.99
ma,2022-10-01,0.09
md,2022-10-01,0.26
me,2022-10-01,0.03
mi,2022-10-01,0.04
mn,2022-10-01,0.09
ms,2022-10-01,0.83
mt,2022-10-01,0.06
nc,2022-10-01,0.62
nd,2022-10-01,0.04
ne,2022-10-01,0.03
nh,2022-10-01,0.08
nj,2022-10-01,0.17
nm,2022-10-01,0.13
nv,2022-10-01,0.14
ny,2022-10-01,0.07
oh,2022-10-01,0.09
ok,2022-10-01,0.04
or,2022-10-01,0.04
pa,2022-10-01,0.12
ri,2022-10-01,0.08
sc,2022-10-01,1.37
sd,2022-10-01,0.04
tn,2022-10-01,0.71
tx,2022-10-01,1.65
ut,2022-10-01,0.15
va,2022-10-01,0.43
vt,2022-10-01,0.08
wa,2022-10-01,0.11
wi,2022-10-01,0.03
wv,2022-10-01,0.07
wy,2022-10-01,0.21
ak,2022-10-08,0.24
al,2022-10-08,2.34
ar,2022-10-08,0.69
az,2022-10-08,0.2
ca,2022-10-08,0.27
co,2022-10-08,0.09
ct,2022-10-08,0.21
dc,2022-10-08,0.22
de,2022-10-08,0.2
fl,2022-10-08,0.65
ga,2022-10-08,1.75
hi,2022-10-08,1.44
ia,2022-10-08,0.24
id,2022-10-08,0.15
il,2022-10-08,0.23
in,2022-10-08,0.29
ks,2022-10-08,0.21
ky,2022-10-08,0.23
la,2022-10-08,2.73
ma,2022-10-08,0.12
md,2022-10-08,0.41
me,2022-10-08,0.08
mi,2022-10-08,0.07
mn,2022-10-08,0.14
ms,2022-10-08,1.7
mt,2022-10-08,0.03
nc,2022-10-08,0.9
nd,2022-10-08,0
ne,2022-10-08,0.04
nh,2022-10-08,0.24
nj,2022-10-08,0.3
nm,2022-10-08,0.14
nv,2022-10-08,0.21
ny,2022-10-08,0.09
oh,2022-10-08,0.15
ok,2022-10-08,0.05
or,2022-10-08,0.08
pa,2022-10-08,0.1
ri,2022-10-08,0.08
sc,2022-10-08,1.51
sd,2022-10-08,0.06
tn,2022-10-08,1.27
tx,2022-10-08,2.37
ut,2022-10-08,0.11
va,2022-10-08,0.72
vt,2022-10-08,0.04
wa,2022-10-08,0.13
wi,2022-10-08,0.06
wv,2022-10-08,0.19
wy,2022-10-08,0.28
ak,2022-10-15,0.32
al,2022-10-15,3.73
ar,2022-10-15,1.08
az,2022-10-15,0.17
ca,2022-10-15,0.43
co,2022-10-15,0.14
ct,2022-10-15,0.28
dc,2022-10-15,0.29
de,2022-10-15,0.28
fl,2022-10-15,0.78
ga,2022-10-15,2.16
hi,2022-10-15,2.07
ia,2022-10-15,0.35
id,2022-10-15,0.07
il,2022-10-15,0.38
in,2022-10-15,0.41
ks,2022-10-15,0.33
ky,2022-10-15,0.48
la,2022-10-15,3.52
ma,2022-10-15,0.14
md,2022-10-15,0.93
me,2022-10-15,0.06
mi,2022-10-15,0.09
mn,2022-10-15,0.22
ms,2022-10-15,2.87
mt,2022-10-15,0.03
nc,2022-10-15,1.56
nd,2022-10-15,0.06
