geo_value,time_value,weekly_hosp,weekly_admits_p100K
ak,2022-02-08,0,0
al,2022-02-08,15,0.3059235986404755
ar,2022-02-08,31,1.027237024008186
az,2022-02-08,59,0.8105824144557345
ca,2022-02-08,33,0.08351845959160537
co,2022-02-08,31,0.5383125741482159
ct,2022-02-08,1,0.028048232863160806
dc,2022-02-08,3,0.4250803047542398
de,2022-02-08,0,0
fl,2022-02-08,76,0.3538547846078942
ga,2022-02-08,45,0.4238316585860807
hi,2022-02-08,0,0
ia,2022-02-08,30,0.9508505358042769
id,2022-02-08,1,0.0559576736156771
il,2022-02-08,11,0.08680678175615013
in,2022-02-08,29,0.43076435867579477
ks,2022-02-08,10,0.3432517057893519
ky,2022-02-08,17,0.3805112863004969
la,2022-02-08,15,0.3226643297164813
ma,2022-02-08,33,0.4787810756121542
md,2022-02-08,9,0.14886662873324422
me,2022-02-08,4,0.2975721091613525
mi,2022-02-08,34,0.3404474500836449
mn,2022-02-08,22,0.39009637508262945
mo,2022-02-08,56,0.9124343291685051
ms,2022-02-08,22,0.7392103016347635
mt,2022-02-08,14,1.3099072024311877
nc,2022-02-08,30,0.28603889900195306
nd,2022-02-08,9,1.1810062698310637
ne,2022-02-08,29,1.4991666701130268
nh,2022-02-08,7,0.5148152806000688
nj,2022-02-08,28,0.31523757091438037
nm,2022-02-08,4,0.1907642444853634
nv,2022-02-08,7,0.22726121663967672
ny,2022-02-08,22,0.11308983481224852
oh,2022-02-08,24,0.20531948567468836
ok,2022-02-08,67,1.6932143298497766
or,2022-02-08,2,0.04741879353786165
pa,2022-02-08,49,0.382753023768416
ri,2022-02-08,0,0
sc,2022-02-08,21,0.40786883870418905
sd,2022-02-08,12,1.3564548600082065
tn,2022-02-08,24,0.35143342372005754
tx,2022-02-08,143,0.4931734959182651
us,2022-02-08,1182,0.36010288742711827
ut,2022-02-08,4,0.12476769814202184
va,2022-02-08,46,0.5389244637613718
vt,2022-02-08,0,0
wa,2022-02-08,6,0.07879296531152834
wi,2022-02-08,25,0.4293736949186543
wv,2022-02-08,8,0.4463919533386491
wy,2022-02-08,1,0.1727834901919452
ak,2022-02-09,0,0
al,2022-02-09,15,0.3059235986404755
ar,2022-02-09,29,0.9609636676205612
az,2022-02-09,54,0.7418889895018587
ca,2022-02-09,34,0.08604932200347219
co,2022-02-09,32,0.5556774958949324
ct,2022-02-09,1,0.028048232863160806
dc,2022-02-09,0,0
de,2022-02-09,0,0
fl,2022-02-09,74,0.344542816591897
ga,2022-02-09,41,0.386157733378429
hi,2022-02-09,0,0
ia,2022-02-09,38,1.2044106786854174
id,2022-02-09,1,0.0559576736156771
il,2022-02-09,10,0.07891525614195466
in,2022-02-09,30,0.44561830207840836
ks,2022-02-09,11,0.3775768763682871
ky,2022-02-09,17,0.3805112863004969
la,2022-02-09,12,0.2581314637731851
ma,2022-02-09,34,0.4932895930549468
md,2022-02-09,8,0.1323258922073282
me,2022-02-09,5,0.37196513645169066
mi,2022-02-09,39,0.3905132515665339
mn,2022-02-09,19,0.33690141484408914
mo,2022-02-09,46,0.7494996275312721
ms,2022-02-09,21,0.7056098333786379
mt,2022-02-09,12,1.1227776020838753
nc,2022-02-09,35,0.33371204883561195
nd,2022-02-09,10,1.3122291887011819
ne,2022-02-09,30,1.5508620725307174
nh,2022-02-09,7,0.5148152806000688
nj,2022-02-09,28,0.31523757091438037
nm,2022-02-09,2,0.0953821222426817
nv,2022-02-09,7,0.22726121663967672
ny,2022-02-09,26,0.13365162295993005
oh,2022-02-09,22,0.188209528535131
ok,2022-02-09,74,1.870117319535574
or,2022-02-09,2,0.04741879353786165
pa,2022-02-09,54,0.4218094547651931
ri,2022-02-09,0,0
sc,2022-02-09,19,0.3690241873990282
sd,2022-02-09,14,1.5825306700095743
tn,2022-02-09,25,0.3660764830417266
tx,2022-02-09,143,0.4931734959182651
us,2022-02-09,1181,0.3597982318539989
ut,2022-02-09,5,0.15595962267752728
va,2022-02-09,41,0.4803457177003531
vt,2022-02-09,0,0
wa,2022-02-09,6,0.07879296531152834
wi,2022-02-09,26,0.44654864271540046
wv,2022-02-09,6,0.33479396500398684
wy,2022-02-09,2,0.3455669803838904
ak,2022-02-10,0,0
al,2022-02-10,13,0.26513378548841215
ar,2022-02-10,28,0.9278269894267488
az,2022-02-10,58,0.7968437294649594
ca,2022-02-10,39,0.09870363406280634
co,2022-02-10,31,0.5383125741482159
ct,2022-02-10,1,0.028048232863160806
dc,2022-02-10,0,0
de,2022-02-10,1,0.10269428732218483
fl,2022-02-10,72,0.33523084857589974
ga,2022-02-10,35,0.3296468455669516
hi,2022-02-10,0,0
ia,2022-02-10,41,1.2994957322658451
id,2022-02-10,1,0.0559576736156771
il,2022-02-10,10,0.07891525614195466
in,2022-02-10,33,0.4901801322862492
ks,2022-02-10,13,0.44622721752615746
ky,2022-02-10,17,0.3805112863004969
la,2022-02-10,15,0.3226643297164813
ma,2022-02-10,32,0.46427255816936164
md,2022-02-10,8,0.1323258922073282
me,2022-02-10,5,0.37196513645169066
mi,2022-02-10,40,0.40052641186311166
mn,2022-02-10,19,0.33690141484408914
mo,2022-02-10,43,0.7006192170401021
ms,2022-02-10,23,0.7728107698908891
mt,2022-02-10,11,1.029212801910219
nc,2022-02-10,35,0.33371204883561195
nd,2022-02-10,8,1.0497833509609455
ne,2022-02-10,29,1.4991666701130268
nh,2022-02-10,8,0.5883603206857928
nj,2022-02-10,24,0.270203632212326
nm,2022-02-10,3,0.14307318336402253
nv,2022-02-10,5,0.16232944045691192
ny,2022-02-10,28,0.14393251703377083
oh,2022-02-10,24,0.20531948567468836
ok,2022-02-10,82,2.0722921648907713
or,2022-02-10,2,0.04741879353786165
pa,2022-02-10,55,0.42962074096454855
ri,2022-02-10,0,0
sc,2022-02-10,19,0.3690241873990282
sd,2022-02-10,16,1.808606480010942
tn,2022-02-10,23,0.33679036439838844
tx,2022-02-10,157,0.541456215798375
us,2022-02-10,1210,0.3686332434744612
ut,2022-02-10,5,0.15595962267752728
va,2022-02-10,42,0.4920614669125568
vt,2022-02-10,0,0
wa,2022-02-10,7,0.09192512619678307
wi,2022-02-10,26,0.44654864271540046
wv,2022-02-10,6,0.33479396500398684
wy,2022-02-10,3,0.5183504705758355
ak,2022-02-11,0,0
al,2022-02-11,10,0.20394906576031702
ar,2022-02-11,29,0.9609636676205612
az,2022-02-11,64,0.8792758394096102
ca,2022-02-11,36,0.09111104682720585
co,2022-02-11,29,0.5035827306547827
ct,2022-02-11,0,0
dc,2022-02-11,0,0
de,2022-02-11,2,0.20538857464436966
fl,2022-02-11,68,0.31660691254390533
ga,2022-02-11,36,0.3390653268688645
hi,2022-02-11,0,0
ia,2022-02-11,46,1.457970821566558
id,2022-02-11,1,0.0559576736156771
il,2022-02-11,9,0.07102373052775919
in,2022-02-11,33,0.4901801322862492
ks,2022-02-11,14,0.48055238810509265
ky,2022-02-11,15,0.3357452526180855
la,2022-02-11,20,0.43021910628864174
ma,2022-02-11,33,0.4787810756121542
md,2022-02-11,7,0.11578515568141219
me,2022-02-11,6,0.44635816374202875
mi,2022-02-11,43,0.4305658927528451
mn,2022-02-11,20,0.3546330682569359
mo,2022-02-11,47,0.7657930976949953
ms,2022-02-11,21,0.7056098333786379
mt,2022-02-11,13,1.2163424022575315
nc,2022-02-11,30,0.28603889900195306
nd,2022-02-11,6,0.7873375132207091
ne,2022-02-11,29,1.4991666701130268
nh,2022-02-11,10,0.735450400857241
nj,2022-02-11,23,0.2589451475368124
nm,2022-02-11,7,0.3338374278493859
nv,2022-02-11,6,0.19479532854829432
ny,2022-02-11,27,0.13879206999685045
oh,2022-02-11,28,0.2395393999538031
ok,2022-02-11,73,1.8448454638661744
or,2022-02-11,2,0.04741879353786165
pa,2022-02-11,56,0.437432027163904
ri,2022-02-11,0,0
sc,2022-02-11,21,0.40786883870418905
sd,2022-02-11,19,2.147720195012994
tn,2022-02-11,26,0.38071954236339567
tx,2022-02-11,164,0.5655975757384298
us,2022-02-11,1237,0.3768589439486847
ut,2022-02-11,6,0.18715154721303273
va,2022-02-11,40,0.4686299684881493
vt,2022-02-11,0,0
wa,2022-02-11,8,0.10505728708203779
wi,2022-02-11,29,0.498073486105639
wv,2022-02-11,5,0.2789949708366557
wy,2022-02-11,2,0.3455669803838904
ak,2022-02-12,0,0
al,2022-02-12,12,0.24473887891238044
ar,2022-02-12,24,0.7952802766514989
az,2022-02-12,63,0.865537154418835
ca,2022-02-12,34,0.08604932200347219
co,2022-02-12,27,0.46885288716134926
ct,2022-02-12,0,0
dc,2022-02-12,0,0
de,2022-02-12,2,0.20538857464436966
fl,2022-02-12,64,0.2979829765119109
ga,2022-02-12,38,0.3579022894726903
hi,2022-02-12,0,0
ia,2022-02-12,52,1.6481409287274134
id,2022-02-12,1,0.0559576736156771
il,2022-02-12,9,0.07102373052775919
in,2022-02-12,34,0.5050340756888628
ks,2022-02-12,20,0.6865034115787038
ky,2022-02-12,15,0.3357452526180855
la,2022-02-12,22,0.4732410169175059
ma,2022-02-12,37,0.5368151453833244
md,2022-02-12,8,0.1323258922073282
me,2022-02-12,7,0.5207511910323669
mi,2022-02-12,40,0.40052641186311166
mn,2022-02-12,19,0.33690141484408914
mo,2022-02-12,42,0.6843257468763789
ms,2022-02-12,22,0.7392103016347635
mt,2022-02-12,13,1.2163424022575315
nc,2022-02-12,32,0.3051081589354166
nd,2022-02-12,5,0.6561145943505909
ne,2022-02-12,29,1.4991666701130268
nh,2022-02-12,11,0.8089954409429652
nj,2022-02-12,25,0.28146211688783956
nm,2022-02-12,7,0.3338374278493859
nv,2022-02-12,6,0.19479532854829432
ny,2022-02-12,34,0.17477519925529317
oh,2022-02-12,29,0.2480943785235818
ok,2022-02-12,70,1.7690298968579752
or,2022-02-12,2,0.04741879353786165
pa,2022-02-12,60,0.4686771719613257
ri,2022-02-12,0,0
sc,2022-02-12,20,0.38844651305160866
sd,2022-02-12,19,2.147720195012994
tn,2022-02-12,24,0.35143342372005754
tx,2022-02-12,173,0.5966364670899291
us,2022-02-12,1256,0.38264739983795304
ut,2022-02-12,4,0.12476769814202184
va,2022-02-12,39,0.4569142192759456
vt,2022-02-12,0,0
wa,2022-02-12,8,0.10505728708203779
wi,2022-02-12,28,0.48089853830889284
wv,2022-02-12,5,0.2789949708366557
wy,2022-02-12,2,0.3455669803838904
ak,2022-02-13,0,0
al,2022-02-13,12,0.24473887891238044
ar,2022-02-13,17,0.5633235292948118
az,2022-02-13,61,0.8380597844372848
ca,2022-02-13,34,0.08604932200347219
co,2022-02-13,20,0.3472984349343328
ct,2022-02-13,0,0
dc,2022-02-13,0,0
de,2022-02-13,2,0.20538857464436966
fl,2022-02-13,64,0.2979829765119109
ga,2022-02-13,41,0.386157733378429
hi,2022-02-13,0,0
ia,2022-02-13,54,1.7115309644476984
id,2022-02-13,1,0.0559576736156771
il,2022-02-13,7,0.05524067929936826
in,2022-02-13,36,0.53474196249409
ks,2022-02-13,23,0.7894789233155095
ky,2022-02-13,17,0.3805112863004969
la,2022-02-13,23,0.49475197223193806
ma,2022-02-13,37,0.5368151453833244
md,2022-02-13,7,0.11578515568141219
me,2022-02-13,6,0.44635816374202875
mi,2022-02-13,36,0.36047377067680053
mn,2022-02-13,23,0.40782802849547634
mo,2022-02-13,39,0.635445336385209
ms,2022-02-13,25,0.8400117064031404
mt,2022-02-13,8,0.7485184013892502
nc,2022-02-13,33,0.31464278890214836
nd,2022-02-13,6,0.7873375132207091
ne,2022-02-13,30,1.5508620725307174
nh,2022-02-13,9,0.661905360771517
nj,2022-02-13,28,0.31523757091438037
nm,2022-02-13,8,0.3815284889707268
nv,2022-02-13,4,0.12986355236552954
ny,2022-02-13,37,0.19019654036605432
oh,2022-02-13,28,0.2395393999538031
ok,2022-02-13,67,1.6932143298497766
or,2022-02-13,2,0.04741879353786165
pa,2022-02-13,63,0.492111030559392
ri,2022-02-13,1,0.094396527718124415
sc,2022-02-13,17,0.33017953609386735
sd,2022-02-13,20,2.260758100013678
tn,2022-02-13,25,0.3660764830417266
tx,2022-02-13,183,0.6311241241471504
us,2022-02-13,1255,0.38234274426483367
ut,2022-02-13,4,0.12476769814202184
va,2022-02-13,39,0.4569142192759456
vt,2022-02-13,0,0
wa,2022-02-13,5,0.06566080442627362
wi,2022-02-13,27,0.4637235905121467
wv,2022-02-13,5,0.2789949708366557
wy,2022-02-13,2,0.3455669803838904
ak,2022-02-14,0,0
al,2022-02-14,12,0.24473887891238044
ar,2022-02-14,15,0.49705017290718684
az,2022-02-14,58,0.7968437294649594
ca,2022-02-14,28,0.07086414753227122
co,2022-02-14,18,0.31256859144089955
ct,2022-02-14,0,0
dc,2022-02-14,0,0
de,2022-02-14,2,0.20538857464436966
fl,2022-02-14,63,0.2933269925039123
ga,2022-02-14,40,0.37673925207651615
hi,2022-02-14,0,0
ia,2022-02-14,58,1.8383110358882686
id,2022-02-14,1,0.0559576736156771
il,2022-02-14,10,0.07891525614195466
in,2022-02-14,41,0.6090116795071581
ks,2022-02-14,28,0.9611047762101853
ky,2022-02-14,17,0.3805112863004969
la,2022-02-14,25,0.5377738828608022
ma,2022-02-14,36,0.522306627940532
md,2022-02-14,8,0.1323258922073282
me,2022-02-14,7,0.5207511910323669
mi,2022-02-14,35,0.3504606103802227
mn,2022-02-14,22,0.39009637508262945
mo,2022-02-14,39,0.635445336385209
ms,2022-02-14,28,0.9408131111715172
mt,2022-02-14,8,0.7485184013892502
nc,2022-02-14,34,0.3241774188688802
nd,2022-02-14,7,0.9185604320908273
ne,2022-02-14,34,1.7576436822014798
nh,2022-02-14,9,0.661905360771517
nj,2022-02-14,28,0.31523757091438037
nm,2022-02-14,8,0.3815284889707268
nv,2022-02-14,5,0.16232944045691192
ny,2022-02-14,41,0.21075832851373588
oh,2022-02-14,26,0.22242944281424576
ok,2022-02-14,69,1.7437580411885758
or,2022-02-14,2,0.04741879353786165
pa,2022-02-14,74,0.5780351787523017
ri,2022-02-14,1,0.094396527718124415
sc,2022-02-14,19,0.3690241873990282
sd,2022-02-14,21,2.3737960050143614
tn,2022-02-14,27,0.3953626016850647
