geo_value,time_value,weekly_hosp
Alameda,2020-03-28,0
Alameda,2020-04-04,0
Alameda,2020-04-11,0
Alameda,2020-04-18,0
Alameda,2020-04-25,0
Alameda,2020-05-02,0
Alameda,2020-05-09,0
Alameda,2020-05-16,0
Alameda,2020-05-23,0
Alameda,2020-05-30,0
Alameda,2020-06-06,0
Alameda,2020-06-13,0
Alameda,2020-06-20,0
Alameda,2020-06-27,0
Alameda,2020-07-04,0
Alameda,2020-07-11,0
Alameda,2020-07-18,0
Alameda,2020-07-25,0
Alameda,2020-08-01,0
Alameda,2020-08-08,0
Alameda,2020-08-15,0
Alameda,2020-08-22,0
Alameda,2020-08-29,0
Alameda,2020-09-05,0
Alameda,2020-09-12,0
Alameda,2020-09-19,0
Alameda,2020-09-26,0
Alameda,2020-10-03,0
Alameda,2020-10-10,0
Alameda,2020-10-17,0
Alameda,2020-10-24,0
Alameda,2020-10-31,0
Alameda,2020-11-07,0
Alameda,2020-11-14,0
Alameda,2020-11-21,0
Alameda,2020-11-28,0
Alameda,2020-12-05,0
Alameda,2020-12-12,0
Alameda,2020-12-19,0
Alameda,2020-12-26,0
Alameda,2021-01-02,0
Alameda,2021-01-09,0
Alameda,2021-01-16,0
Alameda,2021-01-23,0
Alameda,2021-01-30,0
Alameda,2021-02-06,0
Alameda,2021-02-13,0
Alameda,2021-02-20,0
Alameda,2021-02-27,0
Alameda,2021-03-06,0
Alameda,2021-03-13,0
Alameda,2021-03-20,0
Alameda,2021-03-27,0
Alameda,2021-04-03,0
Alameda,2021-04-10,0
Alameda,2021-04-17,0
Alameda,2021-04-24,0
Alameda,2021-05-01,0
Alameda,2021-05-08,0
Alameda,2021-05-15,0
Alameda,2021-05-22,0
Alameda,2021-05-29,0
Alameda,2021-06-05,0
Alameda,2021-06-12,0
Alameda,2021-06-19,0
Alameda,2021-06-26,0
Alameda,2021-07-03,0
Alameda,2021-07-10,0
Alameda,2021-07-17,0
Alameda,2021-07-24,0
Alameda,2021-07-31,0
Alameda,2021-08-07,0
Alameda,2021-08-14,0
Alameda,2021-08-21,0
Alameda,2021-08-28,0
Alameda,2021-09-04,0
Alameda,2021-09-11,0
Alameda,2021-09-18,0
Alameda,2021-09-25,0
Alameda,2021-10-02,0
Alameda,2021-10-09,0
Alameda,2021-10-16,0
Alameda,2021-10-23,0
Alameda,2021-10-30,0
Alameda,2021-11-06,0
Alameda,2021-11-13,0
Alameda,2021-11-20,0
Alameda,2021-11-27,0
Alameda,2021-12-04,0
Alameda,2021-12-11,0
Alameda,2021-12-18,0
Alameda,2021-12-25,0
Alameda,2022-01-01,0
Alameda,2022-01-08,0
Alameda,2022-01-15,0
Alameda,2022-01-22,0
Alameda,2022-01-29,0
Alameda,2022-02-05,0
Alameda,2022-02-12,0
Alameda,2022-02-19,0
Alameda,2022-02-26,0
Alameda,2022-03-05,0
Alameda,2022-03-12,0
Alameda,2022-03-19,0
Alameda,2022-03-26,0
Alameda,2022-04-02,0
Alameda,2022-04-09,0
Alameda,2022-04-16,0
Alameda,2022-04-23,0
Alameda,2022-04-30,0
Alameda,2022-05-07,4
Alameda,2022-05-14,0
Alameda,2022-05-21,0
Alameda,2022-05-28,0
Alameda,2022-06-04,0
Alameda,2022-06-11,0
Alameda,2022-06-18,0
Alameda,2022-06-25,0
Alameda,2022-07-02,0
Alameda,2022-07-09,0
Alameda,2022-07-16,0
Alameda,2022-07-23,0
Alameda,2022-07-30,0
Alameda,2022-08-06,0
Alameda,2022-08-13,0
Alameda,2022-08-20,0
Alameda,2022-08-27,0
Alameda,2022-09-03,0
Alameda,2022-09-10,0
Alameda,2022-09-17,0
Alameda,2022-09-24,0
Alameda,2022-10-01,0
Alameda,2022-10-08,0
Alameda,2022-10-15,0
Alameda,2022-10-22,0
Alameda,2022-10-29,0
Alameda,2022-11-05,6
Alameda,2022-11-12,9
Alameda,2022-11-19,48
Alameda,2022-11-26,62
Alameda,2022-12-03,71
Alameda,2022-12-10,65
Alameda,2022-12-17,96
Alameda,2022-12-24,77
Alameda,2022-12-31,43
Alameda,2023-01-07,13
Alameda,2023-01-14,0
Alameda,2023-01-21,0
Alameda,2023-01-28,0
Alameda,2023-02-04,0
Alameda,2023-02-11,4
Alameda,2023-02-18,0
Alameda,2023-02-25,0
Alameda,2023-03-04,0
Alameda,2023-03-11,0
Alameda,2023-03-18,0
Alameda,2023-03-25,0
Alameda,2023-04-01,0
Alameda,2023-04-08,0
Alameda,2023-04-15,0
Alameda,2023-04-22,0
Alameda,2023-04-29,0
Alameda,2023-05-06,0
Alameda,2023-05-13,0
Alameda,2023-05-20,0
Alameda,2023-05-27,0
Alameda,2023-06-03,0
Alameda,2023-06-10,0
Alameda,2023-06-17,0
Alameda,2023-06-24,0
Alameda,2023-07-01,0
Alameda,2023-07-08,0
Alameda,2023-07-15,0
Alameda,2023-07-22,0
Alameda,2023-07-29,0
Alameda,2023-08-05,0
Alameda,2023-08-12,0
Alameda,2023-08-19,0
Alameda,2023-08-26,0
Alameda,2023-09-02,0
Alameda,2023-09-09,0
Alameda,2023-09-16,0
Alameda,2023-09-23,0
Alameda,2023-09-30,0
Alameda,2023-10-07,0
Alameda,2023-10-14,0
Alameda,2023-10-21,0
Alameda,2023-10-28,0
Alameda,2023-11-04,0
Alameda,2023-11-11,17
Alameda,2023-11-18,5
Alameda,2023-11-25,16
Alameda,2023-12-02,20
Alameda,2023-12-09,16
Alameda,2023-12-16,53
Alameda,2023-12-23,61
Alameda,2023-12-30,60
Alameda,2024-01-06,34
Alameda,2024-01-13,29
Alameda,2024-01-20,13
Alameda,2024-01-27,10
Alameda,2024-02-03,11
Alameda,2024-02-10,0
Alameda,2024-02-17,0
Alameda,2024-02-24,7
Alameda,2024-03-02,4
Alameda,2024-03-09,0
Alameda,2024-03-16,4
Alameda,2024-03-23,0
Alameda,2024-03-30,0
Alameda,2024-04-06,0
Alameda,2024-04-13,0
Alameda,2024-04-20,4
Amador,2020-03-28,0
Amador,2020-04-04,0
Amador,2020-04-11,0
Amador,2020-04-18,0
Amador,2020-04-25,0
Amador,2020-05-02,0
