location,season,median_facilities
ak,2022-2023,14
ak,2023-2024,14
al,2022-2023,95
al,2023-2024,95
ar,2022-2023,85
ar,2023-2024,84
as,2022-2023,1
as,2023-2024,1
az,2022-2023,74
az,2023-2024,72
ca,2022-2023,346
ca,2023-2024,342
co,2022-2023,90
co,2023-2024,90
ct,2022-2023,30
ct,2023-2024,30
dc,2022-2023,9
dc,2023-2024,9
de,2022-2023,8
de,2023-2024,8
fl,2022-2023,204
fl,2023-2024,204
ga,2022-2023,138
ga,2023-2024,135
gu,2022-2023,2
gu,2023-2024,2
hi,2022-2023,24
hi,2023-2024,24
ia,2022-2023,115
ia,2023-2024,113
id,2022-2023,45
id,2023-2024,45
il,2022-2023,177
il,2023-2024,176
in,2022-2023,122
in,2023-2024,122
ks,2022-2023,126
ks,2023-2024,123
ky,2022-2023,98
ky,2023-2024,97
la,2022-2023,134
la,2023-2024,132
ma,2022-2023,71
ma,2023-2024,71
md,2022-2023,48
md,2023-2024,47
me,2022-2023,33
me,2023-2024,33
mi,2022-2023,140
mi,2023-2024,140
mn,2022-2023,125
mn,2023-2024,125
mo,2022-2023,111
mo,2023-2024,110
ms,2022-2023,100
ms,2023-2024,97
mt,2022-2023,59
mt,2023-2024,59
nc,2022-2023,107
nc,2023-2024,107
nd,2022-2023,45
nd,2023-2024,44
ne,2022-2023,92
ne,2023-2024,92
nh,2022-2023,26
nh,2023-2024,26
nj,2022-2023,72
nj,2023-2024,72
nm,2022-2023,37
nm,2023-2024,37
nv,2022-2023,41
nv,2023-2024,40
ny,2022-2023,159
ny,2023-2024,158
oh,2022-2023,179
oh,2023-2024,177
ok,2022-2023,116
ok,2023-2024,115
or,2022-2023,58
or,2023-2024,58
pa,2022-2023,172
pa,2023-2024,172
pr,2022-2023,50
pr,2023-2024,54
ri,2022-2023,11
ri,2023-2024,11
sc,2022-2023,62
sc,2023-2024,62
sd,2022-2023,57
sd,2023-2024,57
tn,2022-2023,104
tn,2023-2024,106
tx,2022-2023,432
tx,2023-2024,435
ut,2022-2023,49
ut,2023-2024,49
va,2022-2023,86
va,2023-2024,87
vi,2022-2023,2
vi,2023-2024,2
vt,2022-2023,14
vt,2023-2024,14
wa,2022-2023,90
wa,2023-2024,90
wi,2022-2023,130
wi,2023-2024,130
wv,2022-2023,50
wv,2023-2024,50
wy,2022-2023,26
wy,2023-2024,24
