location,omega,pop,season,cadence,location_level,disease,log_pop
us,30.230308523340288,328239523,2022-2024,Daily,state,COVID-19,19.609254152892177
ri,9.874629940923752,1059361,2022-2024,Daily,state,COVID-19,13.873176454124396
ny,17.318802252466746,19453561,2022-2024,Daily,state,COVID-19,16.783540696103653
ms,13.12082999097004,2976149,2022-2024,Daily,state,COVID-19,14.9061407408861
me,13.935510191877176,1344212,2022-2024,Daily,state,COVID-19,14.111318525721124
ga,18.253833636247606,10617423,2022-2024,Daily,state,COVID-19,16.178006888965257
ak,9.825323430251487,731545,2022-2024,Daily,state,COVID-19,13.502914014980135
al,13.557941258877282,4903185,2022-2024,Daily,state,COVID-19,15.405395551922352
ar,11.552088920805904,3017804,2022-2024,Daily,state,COVID-19,14.920039972529695
az,15.241066574773265,7278717,2022-2024,Daily,state,COVID-19,15.800465168377697
ca,22.710715592455188,39512223,2022-2024,Daily,state,COVID-19,17.492120625041704
co,12.023290500726835,5758736,2022-2024,Daily,state,COVID-19,15.566228564146174
ct,10.81293715570223,3565287,2022-2024,Daily,state,COVID-19,15.086755113499024
dc,10.342054782598286,705749,2022-2024,Daily,state,COVID-19,13.46701492918239
de,9.718808805527534,973764,2022-2024,Daily,state,COVID-19,13.788924253470674
fl,22.82277954190375,21477737,2022-2024,Daily,state,COVID-19,16.88252746823733
hi,10.783505216525146,1415872,2022-2024,Daily,state,COVID-19,14.163256153669659
ia,11.744614962311262,3155070,2022-2024,Daily,state,COVID-19,14.964521240716078
id,9.215372652156983,1787065,2022-2024,Daily,state,COVID-19,14.396085167290911
il,15.777798512297036,12671821,2022-2024,Daily,state,COVID-19,16.354891267305263
in,15.447569332304056,6732219,2022-2024,Daily,state,COVID-19,15.722415364958001
ks,11.924285823067638,2913314,2022-2024,Daily,state,COVID-19,14.884801822785983
ky,10.929347174434035,4467673,2022-2024,Daily,state,COVID-19,15.312378249384595
la,12.057346720379448,4648794,2022-2024,Daily,state,COVID-19,15.352118389086547
ma,14.981280518147134,6892503,2022-2024,Daily,state,COVID-19,15.745944857135706
md,10.348687014731816,6045680,2022-2024,Daily,state,COVID-19,15.61485452536542
mi,12.935244507769482,9986857,2022-2024,Daily,state,COVID-19,16.11678048650856
mn,10.832239553385847,5639632,2022-2024,Daily,state,COVID-19,15.545329373118532
mo,12.967155966778222,6137428,2022-2024,Daily,state,COVID-19,15.629916319855207
mt,10.119760740690676,1068778,2022-2024,Daily,state,COVID-19,13.882026497720332
nc,16.989479758462657,10488084,2022-2024,Daily,state,COVID-19,16.16575031354692
ne,10.426625674380341,1934408,2022-2024,Daily,state,COVID-19,14.47531189448341
nh,12.42176822177502,1359711,2022-2024,Daily,state,COVID-19,14.12278273513091
nj,15.34570910754799,8882190,2022-2024,Daily,state,COVID-19,15.999558706183862
nm,9.009020518845078,2096829,2022-2024,Daily,state,COVID-19,14.5559367614947
nv,11.625077909642501,3080156,2022-2024,Daily,state,COVID-19,14.940490803017772
oh,17.607856773738295,11689100,2022-2024,Daily,state,COVID-19,16.27416734160507
ok,11.467932358132272,3956971,2022-2024,Daily,state,COVID-19,15.190989391556274
or,9.765986802389692,4217737,2022-2024,Daily,state,COVID-19,15.254809286251392
pa,14.417080858372255,12801989,2022-2024,Daily,state,COVID-19,16.365111107442974
sc,15.071983081439145,5148714,2022-2024,Daily,state,COVID-19,15.454257532719637
sd,9.728963695149195,884659,2022-2024,Daily,state,COVID-19,13.692957539004349
tn,12.984252014803822,6829174,2022-2024,Daily,state,COVID-19,15.73671428719104
tx,19.579040052796913,28995881,2022-2024,Daily,state,COVID-19,17.182664343380136
ut,10.05993158065599,3205958,2022-2024,Daily,state,COVID-19,14.980521511629142
va,14.656322592480908,8535519,2022-2024,Daily,state,COVID-19,15.959746720797773
vt,10.304950920715072,623989,2022-2024,Daily,state,COVID-19,13.343888018991057
wa,10.206184244555683,7614893,2022-2024,Daily,state,COVID-19,15.845616492997973
wi,10.033333743007267,5822434,2022-2024,Daily,state,COVID-19,15.577228945339334
wv,10.15910710858191,1792147,2022-2024,Daily,state,COVID-19,14.398924900402633
wy,9.879204091504757,578759,2022-2024,Daily,state,COVID-19,13.268641435017608
nd,10.034932366164728,762062,2022-2024,Daily,state,COVID-19,13.543783196188242
us,30.88740683149327,328239523,2022-2023,Daily,state,COVID-19,19.609254152892177
ri,8.810239568281853,1059361,2022-2023,Daily,state,COVID-19,13.873176454124396
ny,15.01534889573356,19453561,2022-2023,Daily,state,COVID-19,16.783540696103653
ms,13.483404058912463,2976149,2022-2023,Daily,state,COVID-19,14.9061407408861
me,10.42110323523463,1344212,2022-2023,Daily,state,COVID-19,14.111318525721124
ga,20.23422308772229,10617423,2022-2023,Daily,state,COVID-19,16.178006888965257
ak,11.440093875217416,731545,2022-2023,Daily,state,COVID-19,13.502914014980135
al,15.956524560052642,4903185,2022-2023,Daily,state,COVID-19,15.405395551922352
ar,12.807213634569658,3017804,2022-2023,Daily,state,COVID-19,14.920039972529695
az,19.441074080642363,7278717,2022-2023,Daily,state,COVID-19,15.800465168377697
ca,24.125839753207735,39512223,2022-2023,Daily,state,COVID-19,17.492120625041704
co,13.880150929551371,5758736,2022-2023,Daily,state,COVID-19,15.566228564146174
ct,11.351642113512728,3565287,2022-2023,Daily,state,COVID-19,15.086755113499024
dc,9.2141462219675,705749,2022-2023,Daily,state,COVID-19,13.46701492918239
de,10.95596274193934,973764,2022-2023,Daily,state,COVID-19,13.788924253470674
fl,23.990255278642923,21477737,2022-2023,Daily,state,COVID-19,16.88252746823733
hi,11.427104484401863,1415872,2022-2023,Daily,state,COVID-19,14.163256153669659
ia,12.607899093814613,3155070,2022-2023,Daily,state,COVID-19,14.964521240716078
id,8.514325060266392,1787065,2022-2023,Daily,state,COVID-19,14.396085167290911
il,16.36674887582561,12671821,2022-2023,Daily,state,COVID-19,16.354891267305263
