location,omega,pop,season,cadence,location_level,disease,log_pop
us,29.751915129492666,328239523,2022-2024,Daily,state,COVID-19,19.609254152892177
ri,9.478988274829547,1059361,2022-2024,Daily,state,COVID-19,13.873176454124396
ny,17.753983339890954,19453561,2022-2024,Daily,state,COVID-19,16.783540696103653
ms,13.751654129988466,2976149,2022-2024,Daily,state,COVID-19,14.9061407408861
me,15.643307696797393,1344212,2022-2024,Daily,state,COVID-19,14.111318525721124
ga,18.139301082688696,10617423,2022-2024,Daily,state,COVID-19,16.178006888965257
ak,10.212430988803767,731545,2022-2024,Daily,state,COVID-19,13.502914014980135
al,14.090639810752792,4903185,2022-2024,Daily,state,COVID-19,15.405395551922352
ar,11.34364188073167,3017804,2022-2024,Daily,state,COVID-19,14.920039972529695
az,14.93814526816869,7278717,2022-2024,Daily,state,COVID-19,15.800465168377697
ca,23.260644113496877,39512223,2022-2024,Daily,state,COVID-19,17.492120625041704
co,12.633705702650976,5758736,2022-2024,Daily,state,COVID-19,15.566228564146174
ct,10.975834623282022,3565287,2022-2024,Daily,state,COVID-19,15.086755113499024
dc,11.709344197769834,705749,2022-2024,Daily,state,COVID-19,13.46701492918239
de,9.415887136271806,973764,2022-2024,Daily,state,COVID-19,13.788924253470674
fl,21.65507994575283,21477737,2022-2024,Daily,state,COVID-19,16.88252746823733
hi,10.928059337702646,1415872,2022-2024,Daily,state,COVID-19,14.163256153669659
ia,11.33316083684508,3155070,2022-2024,Daily,state,COVID-19,14.964521240716078
id,9.610925534853898,1787065,2022-2024,Daily,state,COVID-19,14.396085167290911
il,17.027648674521956,12671821,2022-2024,Daily,state,COVID-19,16.354891267305263
in,15.02490980568304,6732219,2022-2024,Daily,state,COVID-19,15.722415364958001
ks,12.016937828808949,2913314,2022-2024,Daily,state,COVID-19,14.884801822785983
ky,11.457184024248136,4467673,2022-2024,Daily,state,COVID-19,15.312378249384595
la,12.471064128074183,4648794,2022-2024,Daily,state,COVID-19,15.352118389086547
ma,15.676963994673908,6892503,2022-2024,Daily,state,COVID-19,15.745944857135706
md,10.94578393577148,6045680,2022-2024,Daily,state,COVID-19,15.61485452536542
mi,13.986236746790015,9986857,2022-2024,Daily,state,COVID-19,16.11678048650856
mn,11.226990295977657,5639632,2022-2024,Daily,state,COVID-19,15.545329373118532
mo,13.36773593916808,6137428,2022-2024,Daily,state,COVID-19,15.629916319855207
mt,11.509307331389174,1068778,2022-2024,Daily,state,COVID-19,13.882026497720332
nc,16.60910571837264,10488084,2022-2024,Daily,state,COVID-19,16.16575031354692
ne,11.013777776778467,1934408,2022-2024,Daily,state,COVID-19,14.47531189448341
nh,12.476387071103767,1359711,2022-2024,Daily,state,COVID-19,14.12278273513091
nj,15.719907560274848,8882190,2022-2024,Daily,state,COVID-19,15.999558706183862
nm,9.61485464106696,2096829,2022-2024,Daily,state,COVID-19,14.5559367614947
nv,11.95512235478593,3080156,2022-2024,Daily,state,COVID-19,14.940490803017772
oh,17.299628285444346,11689100,2022-2024,Daily,state,COVID-19,16.27416734160507
ok,11.42168855149517,3956971,2022-2024,Daily,state,COVID-19,15.190989391556274
or,10.476019750046127,4217737,2022-2024,Daily,state,COVID-19,15.254809286251392
pa,15.546277868313041,12801989,2022-2024,Daily,state,COVID-19,16.365111107442974
sc,15.640221800804122,5148714,2022-2024,Daily,state,COVID-19,15.454257532719637
sd,9.628752494216364,884659,2022-2024,Daily,state,COVID-19,13.692957539004349
tn,13.591853118732844,6829174,2022-2024,Daily,state,COVID-19,15.73671428719104
tx,20.259557761896385,28995881,2022-2024,Daily,state,COVID-19,17.182664343380136
ut,10.138801590796142,3205958,2022-2024,Daily,state,COVID-19,14.980521511629142
