state,omega,pop,season,disease
ak,27.039394309033415,731545,2022-2023,Influenza
al,8.090334132761502,4903185,2022-2023,Influenza
ar,7.155232707033732,3017804,2022-2023,Influenza
az,20.220843943243526,7278717,2022-2023,Influenza
ca,21.01943260402457,39512223,2022-2023,Influenza
co,26.929891106926508,5758736,2022-2023,Influenza
ct,16.83903521079644,3565287,2022-2023,Influenza
dc,13.778123299967493,705749,2022-2023,Influenza
de,17.71991727582929,973764,2022-2023,Influenza
fl,11.760830999275774,21477737,2022-2023,Influenza
ga,6.233807876314312,10617423,2022-2023,Influenza
hi,11.903363031535651,1415872,2022-2023,Influenza
ia,17.170021225930597,3155070,2022-2023,Influenza
id,19.272507514059356,1787065,2022-2023,Influenza
il,14.338545903235255,12671821,2022-2023,Influenza
in,21.01262414951579,6732219,2022-2023,Influenza
ks,17.2378876296585,2913314,2022-2023,Influenza
ky,5.681395149198321,4467673,2022-2023,Influenza
la,8.571798516886576,4648794,2022-2023,Influenza
ma,28.06678782393053,6892503,2022-2023,Influenza
md,12.542178328798514,6045680,2022-2023,Influenza
me,25.356265117178445,1344212,2022-2023,Influenza
mi,21.50787471704294,9986857,2022-2023,Influenza
mn,17.686180330348822,5639632,2022-2023,Influenza
ms,9.6169456481067,2976149,2022-2023,Influenza
mt,18.381072055670323,1068778,2022-2023,Influenza
nc,13.975839730195716,10488084,2022-2023,Influenza
nd,6.173015713541963,762062,2022-2023,Influenza
ne,22.65565296862636,1934408,2022-2023,Influenza
nh,13.598002197504865,1359711,2022-2023,Influenza
nj,12.983261296846205,8882190,2022-2023,Influenza
nm,18.853142807367472,2096829,2022-2023,Influenza
nv,24.803763106475873,3080156,2022-2023,Influenza
ny,25.44887633405232,19453561,2022-2023,Influenza
oh,18.05253141747045,11689100,2022-2023,Influenza
ok,10.806384489055832,3956971,2022-2023,Influenza
or,18.497147868061525,4217737,2022-2023,Influenza
pa,18.388696361162616,12801989,2022-2023,Influenza
ri,21.10406729880462,1059361,2022-2023,Influenza
sc,11.191747577769707,5148714,2022-2023,Influenza
sd,12.517566074834486,884659,2022-2023,Influenza
tn,8.91214295438818,6829174,2022-2023,Influenza
tx,9.902014227221567,28995881,2022-2023,Influenza
us,16.52197938364177,328239523,2022-2023,Influenza
ut,22.687170990807402,3205958,2022-2023,Influenza
va,13.259808118524429,8535519,2022-2023,Influenza
vt,20.63305291519257,623989,2022-2023,Influenza
wa,17.68141956760616,7614893,2022-2023,Influenza
wi,21.696911604851632,5822434,2022-2023,Influenza
wv,15.242737786328163,1792147,2022-2023,Influenza
ak,10.8358247133154,731545,2023-2024,Influenza
al,13.10784535020102,4903185,2023-2024,Influenza
ar,22.308806510402725,3017804,2023-2024,Influenza
az,13.02636636725616,7278717,2023-2024,Influenza
ca,11.13629991072511,39512223,2023-2024,Influenza
co,19.750250921969524,5758736,2023-2024,Influenza
ct,7.856990556717869,3565287,2023-2024,Influenza
dc,13.26252270446312,705749,2023-2024,Influenza
de,8.1709878312623,973764,2023-2024,Influenza
fl,21.513215566779444,21477737,2023-2024,Influenza
ga,11.195057140025366,10617423,2023-2024,Influenza
hi,10.927579496001382,1415872,2023-2024,Influenza
ia,18.49935420565756,3155070,2023-2024,Influenza
id,7.065218070139911,1787065,2023-2024,Influenza
il,10.1493004443454,12671821,2023-2024,Influenza
in,15.498770846532095,6732219,2023-2024,Influenza
ks,13.76119163998415,2913314,2023-2024,Influenza
ky,12.821104417252593,4467673,2023-2024,Influenza
la,16.60906767627045,4648794,2023-2024,Influenza
ma,9.809482887088826,6892503,2023-2024,Influenza
md,8.181705657653549,6045680,2023-2024,Influenza
me,14.560663635292903,1344212,2023-2024,Influenza
mi,11.76891952885708,9986857,2023-2024,Influenza
mn,19.782388499429338,5639632,2023-2024,Influenza
ms,12.080294926611746,2976149,2023-2024,Influenza
mt,7.520500218381598,1068778,2023-2024,Influenza
nc,11.683407074438968,10488084,2023-2024,Influenza
nd,8.096043998416869,762062,2023-2024,Influenza
ne,9.91170559211504,1934408,2023-2024,Influenza
nh,3.243703015843602,1359711,2023-2024,Influenza
nj,7.952377620969219,8882190,2023-2024,Influenza
nm,18.254464143984194,2096829,2023-2024,Influenza
nv,17.61186243720232,3080156,2023-2024,Influenza
ny,7.844663995810164,19453561,2023-2024,Influenza
oh,14.432553212539311,11689100,2023-2024,Influenza
ok,26.351587307616043,3956971,2023-2024,Influenza
or,12.148793571673677,4217737,2023-2024,Influenza
pa,8.542137924724159,12801989,2023-2024,Influenza
ri,7.497196247648574,1059361,2023-2024,Influenza
sc,14.66557590901516,5148714,2023-2024,Influenza
sd,9.081419003746783,884659,2023-2024,Influenza
tn,10.487658590719018,6829174,2023-2024,Influenza
tx,21.605501725519527,28995881,2023-2024,Influenza
us,12.838770426662748,328239523,2023-2024,Influenza
ut,10.483115312986268,3205958,2023-2024,Influenza
va,8.643812642157256,8535519,2023-2024,Influenza
vt,9.005097751345337,623989,2023-2024,Influenza
wa,14.77277304643817,7614893,2023-2024,Influenza
wi,12.878311050695057,5822434,2023-2024,Influenza
wv,7.795066736245182,1792147,2023-2024,Influenza
ak,13.147925265657145,731545,2024-2025,Influenza
al,14.350029762253158,4903185,2024-2025,Influenza
ar,12.512043053033805,3017804,2024-2025,Influenza
az,11.699226696836796,7278717,2024-2025,Influenza
ca,15.148014739338622,39512223,2024-2025,Influenza
co,16.43251708696438,5758736,2024-2025,Influenza
ct,19.848092854347154,3565287,2024-2025,Influenza
dc,10.9680005309034,705749,2024-2025,Influenza
de,13.257466367112414,973764,2024-2025,Influenza
fl,14.909433070877498,21477737,2024-2025,Influenza
ga,10.355736180077713,10617423,2024-2025,Influenza
hi,13.444411654041966,1415872,2024-2025,Influenza
ia,20.597230162790968,3155070,2024-2025,Influenza
id,7.328698276922485,1787065,2024-2025,Influenza
il,13.73055787527372,12671821,2024-2025,Influenza
in,15.065773515249148,6732219,2024-2025,Influenza
ks,16.515523623081386,2913314,2024-2025,Influenza
ky,13.264743767125786,4467673,2024-2025,Influenza
la,11.357345405098796,4648794,2024-2025,Influenza
ma,20.82710935678986,6892503,2024-2025,Influenza
md,14.950421124157243,6045680,2024-2025,Influenza
me,22.870911338465582,1344212,2024-2025,Influenza
mi,17.30846566859435,9986857,2024-2025,Influenza
mn,21.503248214201232,5639632,2024-2025,Influenza
ms,15.93721873913082,2976149,2024-2025,Influenza
mt,13.492674980370289,1068778,2024-2025,Influenza
nc,17.39818914479435,10488084,2024-2025,Influenza
nd,13.047198111969028,762062,2024-2025,Influenza
ne,11.707491798957992,1934408,2024-2025,Influenza
nh,20.974192454756313,1359711,2024-2025,Influenza
nj,22.502394900212053,8882190,2024-2025,Influenza
nm,14.238324977577166,2096829,2024-2025,Influenza
nv,8.317703840418112,3080156,2024-2025,Influenza
ny,19.527604004599063,19453561,2024-2025,Influenza
oh,19.668323514204644,11689100,2024-2025,Influenza
ok,15.000018007667448,3956971,2024-2025,Influenza
or,16.462754388343104,4217737,2024-2025,Influenza
pa,15.57785117119943,12801989,2024-2025,Influenza
ri,20.158133041274173,1059361,2024-2025,Influenza
sc,12.269714157277855,5148714,2024-2025,Influenza
sd,18.98715460258229,884659,2024-2025,Influenza
tn,17.420655638611716,6829174,2024-2025,Influenza
tx,15.519883987092376,28995881,2024-2025,Influenza
us,16.834133567798105,328239523,2024-2025,Influenza
ut,7.339654985086286,3205958,2024-2025,Influenza
va,16.53026232010243,8535519,2024-2025,Influenza
vt,14.414385978657872,623989,2024-2025,Influenza
wa,15.352891903154708,7614893,2024-2025,Influenza
wi,25.55040736148865,5822434,2024-2025,Influenza
wv,14.891871817873458,1792147,2024-2025,Influenza
ak,16.082182859734772,731545,2022-2023,COVID-19
al,12.787846282830106,4903185,2022-2023,COVID-19
ar,8.8520802343673,3017804,2022-2023,COVID-19
az,20.18643910622626,7278717,2022-2023,COVID-19
ca,13.25462743546515,39512223,2022-2023,COVID-19
co,20.21147847901642,5758736,2022-2023,COVID-19
ct,16.17539196340827,3565287,2022-2023,COVID-19
dc,11.505047782018686,705749,2022-2023,COVID-19
de,6.549976720967687,973764,2022-2023,COVID-19
fl,12.763505684341236,21477737,2022-2023,COVID-19
ga,9.575578308558995,10617423,2022-2023,COVID-19
hi,10.695216474391545,1415872,2022-2023,COVID-19
ia,13.264950548141574,3155070,2022-2023,COVID-19
id,8.810746774038424,1787065,2022-2023,COVID-19
il,17.470628224717455,12671821,2022-2023,COVID-19
in,12.26451071515493,6732219,2022-2023,COVID-19
ks,12.877116711007542,2913314,2022-2023,COVID-19
ky,7.321460240668143,4467673,2022-2023,COVID-19
la,13.411325302967247,4648794,2022-2023,COVID-19
ma,19.581124237245184,6892503,2022-2023,COVID-19
md,19.10323925728228,6045680,2022-2023,COVID-19
me,11.046725255500744,1344212,2022-2023,COVID-19
mi,19.33621781985795,9986857,2022-2023,COVID-19
mn,9.896265345200261,5639632,2022-2023,COVID-19
ms,4.907873705266741,2976149,2022-2023,COVID-19
mt,18.056916316459702,1068778,2022-2023,COVID-19
nc,15.41847102428866,10488084,2022-2023,COVID-19
nd,11.632505738062415,762062,2022-2023,COVID-19
ne,20.512969258204848,1934408,2022-2023,COVID-19
nh,8.773563099468163,1359711,2022-2023,COVID-19
nj,19.35274943882782,8882190,2022-2023,COVID-19
nm,19.03972871878422,2096829,2022-2023,COVID-19
nv,11.642331803635775,3080156,2022-2023,COVID-19
ny,12.06598000123238,19453561,2022-2023,COVID-19
oh,15.718658366189675,11689100,2022-2023,COVID-19
ok,10.192508124518119,3956971,2022-2023,COVID-19
or,15.756724244460841,4217737,2022-2023,COVID-19
pa,7.265075785728692,12801989,2022-2023,COVID-19
ri,15.616123277803062,1059361,2022-2023,COVID-19
sc,12.724303920004743,5148714,2022-2023,COVID-19
sd,7.105754826564137,884659,2022-2023,COVID-19
tn,14.21408565205856,6829174,2022-2023,COVID-19
tx,13.10694020127402,28995881,2022-2023,COVID-19
us,13.783562860335897,328239523,2022-2023,COVID-19
ut,12.474206165973046,3205958,2022-2023,COVID-19
va,14.679409012547474,8535519,2022-2023,COVID-19
vt,8.977689376350595,623989,2022-2023,COVID-19
wa,10.517123211783119,7614893,2022-2023,COVID-19
wi,6.9167776352421555,5822434,2022-2023,COVID-19
wv,10.26660368029263,1792147,2022-2023,COVID-19
ak,13.622422331279227,731545,2023-2024,COVID-19
