model,target,location,season,disease,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill,pop,density,inpatient_beds,median_facilities,burden,wis_per100k,normalized_wis_dens,wis_hosp_capacity,wis_facilities,wis_burden
Baseline,wk inc hosp,NA,2022-2023,COVID-19,0.29613832916994165,0.24164626006101633,0.028981974044780374,0.025510095064144957,0.35610891523935,-0.01464646464646466,0.45921503910367883,1.0348339675206775,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baseline,wk inc hosp,NA,2023-2024,COVID-19,0.24992420650499175,0.24488027743288135,7.560702764456499e-4,0.004287858795664759,0.43155279503105587,0.012499999999999995,0.10727277794380105,1.6603933852020112,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baseline,wk inc hosp,ak,2022-2023,COVID-19,0.5091428339162939,0.4559075976101326,0.005809599002174643,0.047425637303986655,0.335467720685112,0.09595959595959594,0.5062631988428401,1.4922274070341368,1,732673,1.2830925496,1411.8983516483515,14,1662,0.06949114187588377,0.39680912657081324,3.6060870339701435e-4,0.03636734527973528,3.063434620434981e-4
Baseline,wk inc hosp,ak,2022-2023,Influenza,0.5953052199720584,0.20567106448119826,0.17297556897684874,0.2166585865140114,-0.03297554347826087,0.06695312499999999,0.871290267152569,1.159448436229196,1,732673,1.2830925496,1411.8983516483515,14,590,0.08125114750674017,0.4639612475013146,4.2163461645596255e-4,0.0425218014265756,0.0010089918982577261
Baseline,wk inc hosp,ak,2023-2024,COVID-19,0.5372910960537265,0.4992748784323022,0.02189820777538003,0.016118009846044192,0.3689233954451346,-0.03928571428571432,0.5890554817395582,1.5097623296259446,1,732673,1.2830925496,1312.7941176470588,14,708,0.07333300067748183,0.4187469533832343,4.092729307903372e-4,0.038377935432409034,7.588857288894442e-4
Baseline,wk inc hosp,ak,2023-2024,Influenza,0.38514869109292343,0.169951866362449,0.08143802109382973,0.13375880363664472,0.019130434782608695,0.06281818181818181,0.5771790262179906,0.9600642335631837,1,732673,1.2830925496,1312.7941176470588,14,325,0.05256761080221647,0.3001721826013192,2.933808781709286e-4,0.027510620792351673,0.0011850728956705337
Baseline,wk inc hosp,al,2022-2023,COVID-19,0.5746671896892773,0.536772711732074,0.014129747138227624,0.02376473081897576,0.3106543697848046,0.02575757575757573,0.3435497117090797,2.2256786015810364,1,5039877,99.509912915,13304.326923076924,95,15826,0.011402405052529601,0.0057749743000996305,4.319400695817933e-5,0.006049128312518709,3.631158787370639e-5
Baseline,wk inc hosp,al,2022-2023,Influenza,0.42469564214784206,0.21302523553100422,0.10009335544224222,0.11157705117459561,-0.01938858695652174,0.138828125,0.47916514314863246,1.1646644903713985,1,5039877,99.509912915,13304.326923076924,95,3564,0.008426706488032188,0.004267872714456209,3.192161802722912e-5,0.004470480443661495,1.191626380886201e-4
Baseline,wk inc hosp,al,2023-2024,COVID-19,0.6843406778558859,0.6442674855535484,0.030161826548362785,0.009911365753974687,0.3137991718426501,-0.0648809523809524,0.4780698774071514,1.8670847851358088,1,5039877,99.509912915,12738.009803921568,95,8739,0.013578519433229937,0.006877110609477071,5.372430139323667e-5,0.007203586082693536,7.830880854284082e-5
Baseline,wk inc hosp,al,2023-2024,Influenza,0.3558773419462951,0.11308270871603504,0.11112090421697532,0.13167372901328475,-0.1583399209486166,0.05618181818181819,0.4987794681990058,1.2264364860015,1,5039877,99.509912915,12738.009803921568,95,3043,0.007061230699604278,0.003576300405872937,2.7938221702163666e-5,0.0037460772836452115,1.1694950441876278e-4
