model,target,location,season,disease,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,wis_relative_skill,wis_scaled_relative_skill,pop,density,inpatient_beds,median_facilities,burden,wis_per100k,normalized_wis_dens,wis_hosp_capacity,wis_facilities,wis_burden,omega
Baseline,wk inc hosp,ak,2023-2024,Influenza,0,0.28994523470509115,0.11508164634362261,0.07507277156713558,0.09979081679433294,-0.06620689655172413,0.4482758620689655,0.9655172413793104,0.4274833786340348,0.9633013043572805,1,732673,1.2830925496,1312.7941176470588,14,325,0.03957362079742138,0.22597374974664192,2.2086116231596504e-4,0.02071037390750651,8.921391837079728e-4,10.541398766009557
Baseline,wk inc hosp,al,2023-2024,Influenza,0,0.18136286908864535,0.06796595050076563,0.04817439768379191,0.06522252090408781,-0.01310344827586206,0.3793103448275862,0.7931034482758621,0.2326498426347199,1.1869564644516613,1,5039877,99.509912915,12738.009803921568,95,3043,0.003598557446712397,0.0018225608261114952,1.4237928207027313e-5,0.0019090828325120564,5.960002270412269e-5,18.228291453119773
Baseline,wk inc hosp,ar,2023-2024,Influenza,0,0.23398552575550735,0.049636787069976,0.10839579376560078,0.07595294491993056,-0.06620689655172413,0.2413793103448276,0.7931034482758621,0.3106857133400855,1.1230353911227988,1,3025891,58.194678618,7726.941176470588,84,3640,0.007732781047152967,0.004020737485147552,3.028177909106126e-5,0.0027855419732798494,6.42817378449196e-5,14.469964549891179
Baseline,wk inc hosp,az,2023-2024,Influenza,0,0.24417526859559727,0.06479867103347672,0.10129163851789792,0.07808495904422262,-0.09724137931034482,0.2413793103448276,0.6896551724137931,0.301092701507071,1.2160552656130486,1,7276316,64.022113803,14490.240196078432,72,9072,0.0033557540463552884,0.003813920754740146,1.6851015945317432e-5,0.003391323174938851,2.6915263293165484e-5,29.50153350361019
Baseline,wk inc hosp,ca,2023-2024,Influenza,0,0.20216630302766261,0.03561546247414189,0.08621229167298639,0.08033854888053435,-0.06034482758620689,0.3103448275862069,0.7931034482758621,0.22504899096353162,1.2348105945126413,1,39237836,251.75436223,62704.220588235294,342,14530,5.152330598141616e-4,8.030299901733807e-4,3.224125922164696e-6,5.911295410165573e-4,1.3913716657099974e-5,28.507748488735775
Baseline,wk inc hosp,co,2023-2024,Influenza,0,0.19970404609843487,0.056439539494758766,0.07144339725880343,0.0718211093448727,-0.04413793103448274,0.27586206896551724,0.8275862068965517,0.25948116946777167,1.0995021245960994,1,5812069,56.081421447,10568.35294117647,90,3735,0.0034360233180031905,0.00356096619781947,1.8896420966444727e-5,0.0022189338455381653,5.346828543465458e-5,13.358498271168639
Baseline,wk inc hosp,ct,2023-2024,Influenza,0,0.24745178246780059,0.07004894829110692,0.09983234478167798,0.07757048939501568,-0.024137931034482748,0.1724137931034483,0.7241379310344828,0.370488246935766,1.005218116992322,1,3605597,744.55699104,7893.019607843137,30,2719,0.006862990580139727,3.3234767176406336e-4,3.1350711737990955e-5,0.008248392748926687,9.100837898778985e-5,13.98437734276634
Baseline,wk inc hosp,dc,2023-2024,Influenza,0,0.30643901931006473,0.0809319105318829,0.16217523980068327,0.06333186897749855,-0.06551724137931034,0.1724137931034483,0.7931034482758621,0.466003365825506,0.9587123076973688,1,670050,10961.845722,2979.2401960784314,9,544,0.045733754094480224,2.7955056756094778e-5,1.0285811117661136e-4,0.03404877992334052,5.633070207905601e-4,10.883019765741675
Baseline,wk inc hosp,de,2023-2024,Influenza,0,0.265657787272073,0.09147012085305882,0.09899680585136678,0.0751908605676474,0.06965517241379311,0.3793103448275862,0.8275862068965517,0.35957772979992403,1.0135071036669556,1,1003384,514.93862029,2491.426470588235,8,517,0.026476183322842805,5.159018508311951e-4,1.0662878893204912e-4,0.033207223409009126,5.138448496558473e-4,11.674853829978682
Baseline,wk inc hosp,fl,2023-2024,Influenza,0,0.11058021547652433,0.032366545922049836,0.04854476727937604,0.02966890227509845,-0.1079310344827586,0.27586206896551724,0.8620689655172413,0.15807700995534732,1.0664530436658983,1,21781128,405.98041819,56236.117647058825,204,18401,5.076881944613903e-4,2.723781998391175e-4,1.9663557888283157e-6,5.42059879786884e-4,6.009467717869916e-6,20.55943592082573
Baseline,wk inc hosp,ga,2023-2024,Influenza,0,0.21829872145567114,0.04281958516961118,0.12356779864382055,0.05191133764223944,-0.05310344827586205,0.2413793103448276,0.6896551724137931,0.26198392734272713,1.1521199039354866,1,10799566,187.11258523,21367.46568627451,135,7641,0.0020213656868773348,0.0011666704363436427,1.0216406786879565e-5,0.0016170275663383046,2.8569391631418813e-5,20.54266101761283
Baseline,wk inc hosp,hi,2023-2024,Influenza,0,0.3181343859451134,0.13516504427060294,0.12833830445365174,0.05463103722085872,-0.15827586206896552,0.2413793103448276,0.5862068965517241,0.44639180239313436,1.099953862068139,1,1441553,224.45613791,2514.848039215686,24,529,0.022068865032719116,0.0014173565887187968,1.265024291663885e-4,0.013255599414379725,6.013882532043732e-4,11.623928244836378
Baseline,wk inc hosp,ia,2023-2024,Influenza,0,0.24024234221358137,0.05680493364405329,0.11875209629417591,0.06468531227535218,-0.19137931034482755,0.27586206896551724,0.6896551724137931,0.33575799238229764,1.092193048709664,1,3193079,57.169008467,7092.421568627451,113,2126,0.00752384586205294,0.004202317805673644,3.3873105241835455e-5,0.0021260384266688615,1.1300204243348136e-4,13.175129548104758
Baseline,wk inc hosp,id,2023-2024,Influenza,0,0.27071384629513534,0.09210971089049867,0.10273600426795847,0.07586813113667822,0.042413793103448304,0.3103448275862069,0.7241379310344828,0.3608011209891009,1.1462766521364034,1,1900923,23.001022601,2857.642156862745,45,1516,0.014241178958597236,0.011769643941107457,9.473329109629941e-5,0.006015863251003007,1.7857113871710774e-4,14.805220275825315
Baseline,wk inc hosp,il,2023-2024,Influenza,0,0.18693456306624592,0.039261467301091826,0.08225478902012268,0.06541830674503143,-0.05103448275862067,0.1724137931034483,0.896551724137931,0.23102161449088668,1.2299594533448721,1,12671469,228.2588546,28210.33823529412,176,6431,0.0014752398720799136,8.189586484775339e-4,6.626455929279537e-6,0.0010621281992400336,2.906772866836354e-5,17.66142719849225
Baseline,wk inc hosp,in,2023-2024,Influenza,0,0.19318451029063055,0.03725055973043142,0.0944007116339022,0.061533238926296925,-0.32,0.1724137931034483,0.6896551724137931,0.26781755011090114,1.1264085041858152,1,6805985,189.97357795,15040.372549019608,122,6081,0.0028384504269496707,0.0010169019943472122,1.2844396617238254e-5,0.001583479592546152,3.176854305058881e-5,19.88027207727584
Baseline,wk inc hosp,ks,2023-2024,Influenza,0,0.24188567625333826,0.0787756802180381,0.09245245960777088,0.07065753642752931,-0.1096551724137931,0.27586206896551724,0.7241379310344828,0.31026768196273274,1.0727573348281323,1,2934582,35.893253619,7919.235294117647,123,1860,0.008242593877197443,0.006739028978005402,3.054406988424871e-5,0.0019665502134417743,1.3004606250179476e-4,16.881621645183
Baseline,wk inc hosp,ky,2023-2024,Influenza,0,0.22033987452860374,0.0703499123867623,0.07613492329538472,0.07385503884645672,0.08689655172413796,0.2413793103448276,0.896551724137931,0.2979281700377804,1.203027673332373,1,4509394,114.18646796,12114.617647058823,97,3950,0.0048862413559028935,0.0019296496201790716,1.8187934687488686e-5,0.0022715450982330283,5.5782246716102215e-5,16.60967818140048
Baseline,wk inc hosp,la,2023-2024,Influenza,0,0.19267979180830141,0.06012395177238246,0.07609713889924509,0.05645870113667387,-0.024137931034482762,0.13793103448275862,0.7241379310344828,0.27277331864889526,1.153994185112107,1,4624047,107.01035949,12244.53431372549,132,3162,0.004166908160931353,0.0018005713907194858,1.573598365372845e-5,0.001459695392487132,6.0936050540259776e-5,17.786816444468613
Baseline,wk inc hosp,ma,2023-2024,Influenza,0,0.24382846252348767,0.056803393446953857,0.1290644272620852,0.057960641814448585,-0.04310344827586206,0.1724137931034483,0.7586206896551724,0.29923968805941215,1.2055362205129585,1,6984723,895.36953013,16294.848039215687,71,7142,0.0034908823517194264,2.7232159942731785e-4,1.496353092319011e-5,0.0034342036975139106,3.414008156307584e-5,22.440800757634662
Baseline,wk inc hosp,md,2023-2024,Influenza,0,0.25251648534625554,0.07125435193323575,0.09587245300260189,0.08538968041041788,-0.009310344827586192,0.3448275862068966,0.7931034482758621,0.35112144246569593,1.1283366932738457,1,6165129,634.8490376,9948.401960784313,47,3111,0.004095883238554384,3.9775831794732733e-4,2.538261786582934e-5,0.005372691177579905,8.11689120367263e-5,22.539049583372726
Baseline,wk inc hosp,me,2023-2024,Influenza,0,0.2940167692714672,0.09766843059196398,0.11247476999629732,0.08387356868320592,0.08068965517241382,0.3103448275862069,0.9310344827586207,0.4548306078323639,1.1155902992385573,1,1372247,44.488287401,2883.75,33,878,0.021425936385466113,0.006608857891546042,1.0195640026752222e-4,0.00890959906883234,3.348710356167052e-4,12.022361834456374
Baseline,wk inc hosp,mi,2023-2024,Influenza,0,0.2249718215863548,0.05242703760395618,0.10986791347808327,0.06267687050431536,-0.19344827586206895,0.1724137931034483,0.6206896551724138,0.29652515361718745,1.1826884277842458,1,10050811,177.55193594,21480.151960784315,140,9724,0.002238344961280784,0.0012670761396957077,1.0473474396134593e-5,0.001606941582759677,2.3135728258572067e-5,19.350458585032946
Baseline,wk inc hosp,mn,2023-2024,Influenza,0,0.20362360123528733,0.0418392820275509,0.08571749677709246,0.07606682243064398,-0.04999999999999999,0.1724137931034483,0.8275862068965517,0.28373234728221985,1.1937785968891044,1,5707390,71.677007309,9393.073529411764,125,2841,0.003567718365755404,0.0028408496515132777,2.1678058901348678e-5,0.0016289888098822986,7.16732140919702e-5,13.607679476773027
Baseline,wk inc hosp,mo,2023-2024,Influenza,0,0.18886274638221812,0.05103848669957247,0.07782934680547002,0.05999491287717564,-0.09551724137931032,0.20689655172413793,0.7931034482758621,0.25602889967312886,1.0950702793076743,1,6168187,89.723503599,14495.421568627453,110,5759,0.003061884251923914,0.002104941724370236,1.3029130990641565e-5,0.0017169340580201647,3.2794364713008876e-5,17.023602971813744
Baseline,wk inc hosp,ms,2023-2024,Influenza,0,0.19547596927169275,0.06697475076372894,0.06540543968765444,0.06309577882030937,0.14655172413793102,0.3448275862068966,0.7586206896551724,0.26257181066691304,1.151931937454827,1,2949965,62.866946395,7701.671568627451,97,2603,0.006626382661207599,0.0031093600131855545,2.538097963927192e-5,0.0020152161780586882,7.509641539442672e-5,14.604150246456637
Baseline,wk inc hosp,mt,2023-2024,Influenza,0,0.3367856455936276,0.12359777617369233,0.13361365944805342,0.07957420997188186,-0.11206896551724137,0.2413793103448276,0.8275862068965517,0.492702851644568,0.9972576368463704,1,1104271,7.5868654853,2619.299019607843,59,1096,0.030498459671007172,0.044390617738797364,1.2857854069828596e-4,0.005708231281247925,3.072861729868865e-4,11.471279737480678
