model,target,location,season,disease,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,wis_relative_skill,wis_scaled_relative_skill,pop,density,inpatient_beds,median_facilities,burden,wis_per100k,normalized_wis_dens,wis_hosp_capacity,wis_facilities,wis_burden,omega
Baseline,wk inc hosp,ak,2022-2023,COVID-19,0.5091428339162939,0.047425637303986655,0.005809599002174643,0.4559075976101326,0.09595959595959594,0.9848484848484849,1,0.5062631988428401,1.4922274070341368,1,732673,1.2830925496,1411.8983516483515,14,1662,0.06949114187588377,0.39680912657081324,3.6060870339701435e-4,0.03636734527973528,3.063434620434981e-4,11.440093875217416
Baseline,wk inc hosp,ak,2022-2023,Influenza,0.5953052199720584,0.2166585865140114,0.1729755689768487,0.20567106448119826,0.06695312499999999,0.4921875,0.7109375,0.871290267152569,1.159448436229196,1,732673,1.2830925496,1411.8983516483515,14,590,0.08125114750674017,0.4639612475013146,4.2163461645596255e-4,0.0425218014265756,0.0010089918982577261,11.05227441882528
Baseline,wk inc hosp,ak,2023-2024,COVID-19,0.5372910960537264,0.016118009846044192,0.02189820777538003,0.4992748784323022,-0.03928571428571432,1,1,0.5890554817395582,1.5097623296259446,1,732673,1.2830925496,1312.7941176470588,14,708,0.07333300067748183,0.4187469533832342,4.0927293079033713e-4,0.03837793543240903,7.588857288894441e-4,10.610410532043169
Baseline,wk inc hosp,ak,2023-2024,Influenza,0.38514869109292343,0.13375880363664472,0.08143802109382975,0.169951866362449,0.06281818181818181,0.5,0.9363636363636364,0.5771790262179906,0.9600642335631837,1,732673,1.2830925496,1312.7941176470588,14,325,0.05256761080221647,0.3001721826013192,2.933808781709286e-4,0.027510620792351673,0.0011850728956705337,10.213230699848308
Baseline,wk inc hosp,al,2022-2023,COVID-19,0.5746671896892773,0.02376473081897576,0.014129747138227624,0.536772711732074,0.02575757575757573,0.9696969696969697,1,0.3435497117090797,2.2256786015810364,1,5039877,99.509912915,13304.326923076924,95,15826,0.011402405052529601,0.0057749743000996305,4.319400695817933e-5,0.006049128312518709,3.631158787370639e-5,15.956524560052642
Baseline,wk inc hosp,al,2022-2023,Influenza,0.42469564214784206,0.1115770511745956,0.10009335544224222,0.21302523553100422,0.138828125,0.53125,0.8125,0.47916514314863246,1.1646644903713985,1,5039877,99.509912915,13304.326923076924,95,3564,0.008426706488032188,0.004267872714456209,3.192161802722912e-5,0.004470480443661495,1.191626380886201e-4,19.766464657050676
Baseline,wk inc hosp,al,2023-2024,COVID-19,0.6843406778558859,0.009911365753974687,0.030161826548362785,0.6442674855535484,-0.0648809523809524,1,1,0.4780698774071514,1.8670847851358088,1,5039877,99.509912915,12738.009803921568,95,8739,0.013578519433229937,0.006877110609477071,5.372430139323667e-5,0.007203586082693536,7.830880854284082e-5,15.457215316028117
Baseline,wk inc hosp,al,2023-2024,Influenza,0.3558773419462951,0.13167372901328475,0.1111209042169753,0.11308270871603505,0.05618181818181819,0.23636363636363636,0.8,0.4987794681990058,1.2264364860015,1,5039877,99.509912915,12738.009803921568,95,3043,0.007061230699604278,0.003576300405872937,2.7938221702163666e-5,0.0037460772836452115,1.1694950441876278e-4,16.715178408897234
Baseline,wk inc hosp,ar,2022-2023,COVID-19,0.5903810737408977,0.0203435412410444,0.015016444430256036,0.5550210880695973,0.01868686868686867,1,1,0.3958185741887664,2.0030962851292298,1,3025891,58.194678618,7641.046703296704,85,8346,0.019510982839133915,0.010144932281802977,7.726442419023296e-5,0.006945659691069384,7.07382067746103e-5,12.807213634569658
Baseline,wk inc hosp,ar,2022-2023,Influenza,0.486333562505068,0.14062459141572506,0.1294332007661549,0.216275770323188,0.0878125,0.4765625,0.6796875,0.5334554611559015,1.2434868987769758,1,3025891,58.194678618,7641.046703296704,85,3423,0.016072408507281588,0.008357010882342803,6.364750555643653e-5,0.005721571323589035,1.4207816608386445e-4,18.020442149645376
Baseline,wk inc hosp,ar,2023-2024,COVID-19,0.6707710053922203,0.02062552491031459,0.01957749779954365,0.630567982682362,0.0029761904761904556,1,1,0.49386410222059485,1.7682684706496479,1,3025891,58.194678618,7726.941176470588,84,5129,0.022167718711355443,0.011526328889884899,8.680938421464811e-5,0.007985369111812147,1.307800751398363e-4,12.657528910119254
Baseline,wk inc hosp,ar,2023-2024,Influenza,0.40301798926001126,0.1064833672253126,0.15755806001245706,0.1389765620222416,-0.14836363636363636,0.3090909090909091,0.7636363636363637,0.5165569897906278,1.1281962297403465,1,3025891,58.194678618,7726.941176470588,84,3640,0.013318985689174239,0.006925340921727423,5.215750709831294e-5,0.004797833205476325,1.1071922781868442e-4,13.436159813178804
Baseline,wk inc hosp,as,2022-2023,COVID-19,0.2816691295570854,0.023313508520393288,0.005486372092054247,0.25286924894463786,0.014646464646464644,0.9747474747474747,1,0.10926703848947568,2.9313148529214184,1,NA,NA,150,1,3,NA,NA,0.001877794197047236,0.2816691295570854,0.0938897098523618,NA
Baseline,wk inc hosp,as,2023-2024,COVID-19,0.21642698597116591,0,0,0.21642698597116591,0,1,1,0,1.161487363223115,1,NA,NA,150,1,1,NA,NA,0.001442846573141106,0.21642698597116591,0.21642698597116591,NA
Baseline,wk inc hosp,az,2022-2023,COVID-19,0.5078157227278252,0.03198049515047279,0.017735432449319254,0.45809979512803306,0.05757575757575755,0.9141414141414141,1,0.34089758983483176,2.142736438144727,1,7276316,64.022113803,14659.978021978022,74,21207,0.006979022388909788,0.007931879979633374,3.46395964555005e-5,0.006862374631457097,2.3945665239205222e-5,19.441074080642363
Baseline,wk inc hosp,az,2022-2023,Influenza,0.5679498216913359,0.18367821569332707,0.1594201134007464,0.22485149259726245,0.118984375,0.484375,0.71875,0.6311120837404905,1.3337179169191293,1,7276316,64.022113803,14659.978021978022,74,6580,0.00780545844478629,0.008871150731432464,3.8741519314686144e-5,0.007674997590423458,8.631456256707233e-5,27.073866148348802
Baseline,wk inc hosp,az,2023-2024,COVID-19,0.6347088408425757,0.01134570368570022,0.01529904316753334,0.6080640939893421,-0.029166666666666695,1,1,0.34424527183788833,2.157747127409988,1,7276316,64.022113803,14490.240196078432,72,10726,0.008722942225744122,0.009913900106385336,4.380250653224853e-5,0.008815400567257997,5.9174794037159774e-5,14.025044278814057
Baseline,wk inc hosp,az,2023-2024,Influenza,0.4700112071449676,0.1361764797596462,0.19117067956474731,0.14266404782057404,-0.021454545454545445,0.2545454545454545,0.6727272727272727,0.6011552093031085,1.311087929887694,1,7276316,64.022113803,14490.240196078432,72,9072,0.006459466674412815,0.007341388455108201,3.243639862313457e-5,0.006527933432568994,5.180899549657932e-5,27.374205899577973
Baseline,wk inc hosp,ca,2022-2023,COVID-19,0.3087771208287264,0.027358721540163174,0.019574673185558403,0.2618437261030048,0.09166666666666665,0.8535353535353535,0.9949494949494949,0.23921929453483068,1.993329909431686,1,39237836,251.75436223,62078.34065934066,346,126949,7.869371818280866e-4,0.0012265015711887884,4.973991210930765e-6,8.924194243604809e-4,2.43229265948315e-6,24.125839753207735
Baseline,wk inc hosp,ca,2022-2023,Influenza,0.6719817671329585,0.1840685619431265,0.19825030675768165,0.2896628984321504,0.1103125,0.5,0.6484375,0.6440355187364905,1.478698254797346,1,39237836,251.75436223,62078.34065934066,346,19291,0.0017125862066729636,0.002669196121094591,1.0824737903683776e-5,0.0019421438356443889,3.483395195339581e-5,31.202759351609966
Baseline,wk inc hosp,ca,2023-2024,COVID-19,0.472278033515816,0.026595397925769808,0.018832887570340344,0.4268497480197058,0.005952380952380956,0.9583333333333334,1,0.33200397761432787,1.9094191781621772,1,39237836,251.75436223,62704.220588235294,342,56664,0.0012036291540537965,0.0018759477664357133,7.531838033952468e-6,0.0013809299225608655,8.334710460183114e-6,23.974540592362224
Baseline,wk inc hosp,ca,2023-2024,Influenza,0.42186256129242206,0.08734369733503579,0.16303758029577206,0.1714812836616142,1.1310323140493385e-17,0.3181818181818182,0.8363636363636363,0.5179192522711579,1.3717752497426154,1,39237836,251.75436223,62704.220588235294,342,14530,0.0010751422715881223,0.001675691167992605,6.727817638667418e-6,0.0012335162610889534,2.903389960718665e-5,26.318124810822773
Baseline,wk inc hosp,co,2022-2023,COVID-19,0.5654900920619635,0.020942976336866693,0.01041049813032485,0.534136617594772,0.04646464646464644,0.9797979797979798,1,0.3152649624316282,2.1487689236372374,1,5812069,56.081421447,10500.857142857143,90,15440,0.009729583252744652,0.010083376588383776,5.385180317843094e-5,0.006283223245132928,3.66250059625624e-5,13.880150929551371
Baseline,wk inc hosp,co,2022-2023,Influenza,0.6027875905527055,0.14460513167103406,0.1335153327357238,0.3246671261459476,-0.0721875,0.5703125,0.734375,0.696962789254125,1.361040860902021,1,5812069,56.081421447,10500.857142857143,90,2350,0.010371308230385866,0.010748436380528846,5.7403655944670344e-5,0.0066976398950300605,2.565053576820023e-4,12.203985768916647
Baseline,wk inc hosp,co,2023-2024,COVID-19,0.6720588831106669,0.011570376758310224,0.016548069731431334,0.6439404366209253,-0.026190476190476215,1,1,0.3985687705669391,2.0211617827364403,1,5812069,56.081421447,10568.35294117647,90,8816,0.011563160779933392,0.011983627835571165,6.359163881556109e-5,0.007467320923451854,7.623172449077438e-5,14.914326690631174
Baseline,wk inc hosp,co,2023-2024,Influenza,0.3529268384962212,0.09360441275416923,0.1320761582762602,0.12724626746579176,-0.004909090909090902,0.23636363636363636,0.7272727272727273,0.510749914954791,1.1483815995769115,1,5812069,56.081421447,10568.35294117647,90,3735,0.006072309852071977,0.006293115070732583,3.3394686992440026e-5,0.00392140931662468,9.449179076204048e-5,12.468375167493695
Baseline,wk inc hosp,ct,2022-2023,COVID-19,0.4510434990771637,0.025489317323364936,0.011623711084873378,0.41393047066892535,0.03686868686868685,0.9494949494949495,1,0.2761489030862627,2.2115801928441225,1,3605597,744.55699104,7518.728021978022,30,15648,0.01250953722995564,6.057877429196446e-4,5.998933566405338e-5,0.015034783302572123,2.8824354491127537e-5,11.351642113512728
Baseline,wk inc hosp,ct,2022-2023,Influenza,0.6208643332277752,0.20887377441243124,0.17695192344551458,0.23503863536982939,0.06515625,0.5078125,0.609375,0.6937398354856874,1.3394443852426643,1,3605597,744.55699104,7518.728021978022,30,2784,0.01721946000143042,8.33870799279649e-4,8.25757137926687e-5,0.020695477774259174,2.2301161394675835e-4,16.61105729333955
Baseline,wk inc hosp,ct,2023-2024,COVID-19,0.6499730350594339,0.019669204263734162,0.019281907064901585,0.6110219237307982,-0.022619047619047632,0.9940476190476191,1,0.4462520300164287,1.8685423899711173,1,3605597,744.55699104,7893.019607843137,30,6852,0.018026779894132205,8.729661300359952e-4,8.234782977272331e-5,0.021665767835314466,9.485887843832953e-5,11.312073874186602
Baseline,wk inc hosp,ct,2023-2024,Influenza,0.3633298317521642,0.07560714672590112,0.1524311912677634,0.13529149375849972,-0.07799999999999999,0.3,0.8090909090909091,0.5332622497428638,1.0046305690919524,1,3605597,744.55699104,7893.019607843137,30,2719,0.010076828657006433,4.8798122390156294e-4,4.6031791355380714e-5,0.012110994391738806,1.3362627133216778e-4,12.986311147785901
Baseline,wk inc hosp,dc,2022-2023,COVID-19,0.4903351552441355,0.023952014020420756,0.01718279786909446,0.4492003433546203,0.01616161616161614,0.9747474747474747,1,0.4072508323311743,1.5865105523750527,1,670050,10961.845722,3231.145604395605,9,3456,0.07317889041775025,4.473107610519019e-5,1.517527265181397e-4,0.05448168391601506,1.418793851979559e-4,9.2141462219675
