model,target,location,season,disease,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill,pop,density,inpatient_beds,median_facilities,burden,wis_per100k,normalized_wis_dens,wis_hosp_capacity,wis_facilities,wis_burden,omega
Baseline,wk inc hosp,NA,2022-2023,COVID-19,0.2737827652623435,0.24509832615212657,0.01594529931977372,0.01273913979044322,0.3932191480017566,-0.00656565656565657,0.35311709226088284,1.08200668228411,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baseline,wk inc hosp,NA,2023-2024,COVID-19,0.23879335734508536,0.2373869689756521,0,0.00140638836943328,0.4382458770614693,0.00517241379310344,0.02987703364482523,2.0453932880709247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baseline,wk inc hosp,ak,2022-2023,COVID-19,0.5290116915903027,0.4814024275790015,0.01146652304802077,0.03614274096328051,0.3543522178304787,0.05050505050505048,0.560835518819284,1.468478237024182,1,732673,1.2830925496,1411.8983516483515,14,1662,0.07220297343976136,0.4122942587073866,3.7468114540448075e-4,0.03778654939930733,3.1829825005433375e-4,11.575084404870283
Baseline,wk inc hosp,ak,2022-2023,Influenza,0.5953052199720584,0.20567106448119823,0.17297556897684874,0.21665858651401135,-0.03297554347826087,0.06695312499999999,0.871290267152569,1.159448436229196,1,732673,1.2830925496,1411.8983516483515,14,590,0.08125114750674017,0.4639612475013146,4.2163461645596255e-4,0.0425218014265756,0.00100899189825772,11.211266289672928
Baseline,wk inc hosp,ak,2023-2024,COVID-19,0.5347689942740135,0.49689371728135634,0.01811765219513449,0.01975762479752268,0.3700299850074963,-0.02586206896551727,0.580469621667962,1.5118886218080598,1,732673,1.2830925496,1312.7941176470588,14,708,0.07298876774140899,0.41678131046799854,4.0735175994883967e-4,0.03819778530528667,7.55323438240132e-4,11.621711707632477
Baseline,wk inc hosp,ak,2023-2024,Influenza,0.3851486910929235,0.169951866362449,0.08143802109382975,0.13375880363664472,0.01913043478260869,0.06281818181818181,0.5771790262179907,0.9600642335631836,1,732673,1.2830925496,1312.7941176470588,14,325,0.05256761080221647,0.3001721826013192,2.9338087817092865e-4,0.02751062079235167,0.00118507289567053,10.541398766009557
Baseline,wk inc hosp,al,2022-2023,COVID-19,0.6776699826672542,0.6422366088955779,0.02925174710663002,0.00618162666504633,0.322512077294686,-0.08939393939393941,0.42944829473715446,1.900385628563657,1,5039877,99.509912915,13304.326923076924,95,15826,0.01344616113979079,0.00681007512534063,5.0936059117113746e-5,0.00713336823860267,4.2820041872062065e-5,14.199152960488648
Baseline,wk inc hosp,al,2022-2023,Influenza,0.42469564214784206,0.21302523553100425,0.10009335544224224,0.1115770511745956,-0.01938858695652174,0.138828125,0.47916514314863246,1.1646644903713983,1,5039877,99.509912915,13304.326923076924,95,3564,0.00842670648803218,0.0042678727144562,3.192161802722912e-5,0.00447048044366149,1.191626380886201e-4,19.951969451625406
Baseline,wk inc hosp,al,2023-2024,COVID-19,0.6374826031648299,0.6064118240564034,0.01771908469945848,0.01335169440896792,0.32580209895052475,-0.00948275862068968,0.37055095118095793,2.117446838234302,1,5039877,99.509912915,12738.009803921568,95,8739,0.01264877303880292,0.00640622209879088,5.00456988947027e-5,0.00671034319120873,7.294685927049203e-5,15.3271526862507
Baseline,wk inc hosp,al,2023-2024,Influenza,0.3558773419462951,0.11308270871603504,0.11112090421697532,0.13167372901328472,-0.1583399209486166,0.05618181818181819,0.4987794681990058,1.2264364860015,1,5039877,99.509912915,12738.009803921568,95,3043,0.00706123069960427,0.00357630040587293,2.7938221702163663e-5,0.00374607728364521,1.1694950441876278e-4,18.228291453119773
Baseline,wk inc hosp,ar,2022-2023,COVID-19,0.6724787671662961,0.6348586107247528,0.02419068765221361,0.01342946878932965,0.3299780412823891,-0.04646464646464648,0.474940882239811,1.7664440509369068,1,3025891,58.194678618,7641.046703296704,85,8346,0.02222415702238765,0.01155567455884693,8.800872357921295e-5,0.00791151490783877,8.057497809325379e-5,14.074662947845207
Baseline,wk inc hosp,ar,2022-2023,Influenza,0.486333562505068,0.216275770323188,0.1294332007661549,0.14062459141572506,-0.06320652173913044,0.0878125,0.5334554611559015,1.2434868987769758,1,3025891,58.194678618,7641.046703296704,85,3423,0.01607240850728158,0.0083570108823428,6.364750555643653e-5,0.00572157132358903,1.4207816608386445e-4,18.023459258186637
Baseline,wk inc hosp,ar,2023-2024,COVID-19,0.6344460919533513,0.5952907654801439,0.01078145205899623,0.02837387441421117,0.3246776611694153,0.06637931034482757,0.4382879833429465,1.8803909908191605,1,3025891,58.194678618,7726.941176470588,84,5129,0.02096724871957884,0.01090213241176166,8.210831135680333e-5,0.00755292966611132,1.2369781476961422e-4,11.01825196545212
Baseline,wk inc hosp,ar,2023-2024,Influenza,0.4030179892600112,0.1389765620222416,0.15755806001245704,0.1064833672253126,-0.12671936758893282,-0.14836363636363636,0.5165569897906277,1.1281962297403465,1,3025891,58.194678618,7726.941176470588,84,3640,0.01331898568917423,0.00692534092172742,5.2157507098312935e-5,0.00479783320547632,1.107192278186844e-4,14.469964549891179
Baseline,wk inc hosp,as,2022-2023,COVID-19,0.2414839913999491,0.240570754007907,0,9.132373920420888e-4,0.4395520421607378,0.00252525252525252,0.01400297334464536,2.872732016719276,1,NA,NA,150,1,3,NA,NA,0.00160989327599966,0.2414839913999491,0.08049466379998303,NA
Baseline,wk inc hosp,as,2023-2024,COVID-19,0.2045040675258651,0.2045040675258651,0,0,0.4408695652173913,0,0,1.1833827945040742,1,NA,NA,150,1,1,NA,NA,0.00136336045017243,0.2045040675258651,0.2045040675258651,NA
Baseline,wk inc hosp,az,2022-2023,COVID-19,0.5933722585164677,0.5520185185667145,0.02362167636893514,0.01773206358081799,0.2955028546332894,-0.02929292929292932,0.3429757029442671,2.251193008188331,1,7276316,64.022113803,14659.978021978022,74,21207,0.00815484454655993,0.00926823910160653,4.047565812355877e-5,0.00801854403400632,2.798001879174177e-5,17.715813040059423
Baseline,wk inc hosp,az,2022-2023,Influenza,0.5679498216913359,0.22485149259726245,0.15942011340074638,0.18367821569332707,-0.06252717391304348,0.118984375,0.6311120837404904,1.333717916919129,1,7276316,64.022113803,14659.978021978022,74,6580,0.00780545844478629,0.00887115073143246,3.8741519314686144e-5,0.00767499759042345,8.631456256707233e-5,27.054612217430762
Baseline,wk inc hosp,az,2023-2024,COVID-19,0.5776805210764014,0.5509187157723997,0.01126669595437564,0.01549510934962616,0.33029985007496254,0.00344827586206894,0.31803684624788964,2.123019085582695,1,7276316,64.022113803,14490.240196078432,72,10726,0.00793918957170636,0.00902314039261434,3.986686992481616e-5,0.00802334057050557,5.3857963926571086e-5,14.386903211934465
Baseline,wk inc hosp,az,2023-2024,Influenza,0.4700112071449676,0.14266404782057404,0.19117067956474731,0.1361764797596462,-0.20300395256917,-0.02145454545454544,0.6011552093031085,1.311087929887694,1,7276316,64.022113803,14490.240196078432,72,9072,0.00645946667441281,0.0073413884551082,3.243639862313457e-5,0.00652793343256899,5.180899549657932e-5,29.50153350361019
Baseline,wk inc hosp,ca,2022-2023,COVID-19,0.4096477979331931,0.3657221413625696,0.02875403337974518,0.01517162319087825,0.24280193236714975,-0.04974747474747476,0.25634708840824966,2.0153466089910443,1,39237836,251.75436223,62078.34065934066,346,126949,0.00104401220784243,0.00162717259119007,6.598884467308247e-6,0.00118395317321732,3.2268690413724656e-6,25.992928812588122
Baseline,wk inc hosp,ca,2022-2023,Influenza,0.6719817671329585,0.2896628984321504,0.19825030675768163,0.1840685619431265,-0.06150815217391305,0.1103125,0.6440355187364905,1.478698254797346,1,39237836,251.75436223,62078.34065934066,346,19291,0.00171258620667296,0.00266919612109459,1.0824737903683776e-5,0.00194214383564438,3.483395195339581e-5,31.247493784085556
Baseline,wk inc hosp,ca,2023-2024,COVID-19,0.4216620995791862,0.3724202301253803,0.011201112750342,0.03804075670346393,0.23097451274362815,0.10862068965517242,0.332669217895265,1.8463420372801485,1,39237836,251.75436223,62704.220588235294,342,56664,0.00107463138277856,0.00167489490884753,6.724620697355409e-6,0.00123293011572861,7.441446060623786e-6,22.47149289437652
Baseline,wk inc hosp,ca,2023-2024,Influenza,0.42186256129242206,0.1714812836616142,0.16303758029577206,0.08734369733503579,-0.10695652173913044,1.1310323140493383e-17,0.517919252271158,1.3717752497426154,1,39237836,251.75436223,62704.220588235294,342,14530,0.00107514227158812,0.0016756911679926,6.727817638667418e-6,0.00123351626108895,2.903389960718665e-5,28.507748488735775
Baseline,wk inc hosp,co,2022-2023,COVID-19,0.638620798540391,0.6075276858824279,0.01672311223654949,0.01437000042141359,0.33283267457180504,-0.00707070707070709,0.386144874869183,2.148955441595969,1,5812069,56.081421447,10500.857142857143,90,15440,0.01098783924520495,0.01138738609084512,6.08160638557769e-5,0.00709578665044878,4.1361450682667813e-5,13.124882540451143
Baseline,wk inc hosp,co,2022-2023,Influenza,0.6027875905527055,0.3246671261459476,0.1335153327357238,0.14460513167103406,9.918478260869557e-4,-0.0721875,0.696962789254125,1.361040860902021,1,5812069,56.081421447,10500.857142857143,90,2350,0.01037130823038586,0.01074843638052884,5.7403655944670344e-5,0.00669763989503006,2.565053576820023e-4,12.123628700709277
Baseline,wk inc hosp,co,2023-2024,COVID-19,0.6138578726548224,0.5865912144147702,0.01213902499621401,0.01512763324383817,0.3370464767616192,0.0025862068965517,0.3424702486966138,1.96008633924881,1,5812069,56.081421447,10568.35294117647,90,8816,0.01056177882015547,0.01094583298383318,5.808453560091717e-5,0.00682064302949802,6.962997648081016e-5,12.488492399017836
Baseline,wk inc hosp,co,2023-2024,Influenza,0.3529268384962212,0.12724626746579176,0.1320761582762602,0.09360441275416924,-0.16624505928853756,-0.0049090909090909,0.510749914954791,1.1483815995769115,1,5812069,56.081421447,10568.35294117647,90,3735,0.00607230985207197,0.00629311507073258,3.3394686992440026e-5,0.00392140931662468,9.449179076204048e-5,13.358498271168639
Baseline,wk inc hosp,ct,2022-2023,COVID-19,0.5456780226674518,0.5041374085184552,0.01657744743746691,0.02496316671152966,0.2924286341677646,0.00858585858585857,0.36146936548635905,2.05455259737252,1,3605597,744.55699104,7518.728021978022,30,15648,0.01513419338510243,7.328895292558421e-4,7.257584275855947e-5,0.01818926742224839,3.487206177578296e-5,11.302134177143975
Baseline,wk inc hosp,ct,2022-2023,Influenza,0.6208643332277752,0.2350386353698294,0.17695192344551458,0.20887377441243124,-0.07611413043478261,0.06515625,0.6937398354856874,1.3394443852426643,1,3605597,744.55699104,7518.728021978022,30,2784,0.01721946000143042,8.33870799279649e-4,8.25757137926687e-5,0.02069547777425917,2.2301161394675835e-4,16.644738082970655
Baseline,wk inc hosp,ct,2023-2024,COVID-19,0.6124838883257114,0.568121474262473,0.01673688951738506,0.02762552454585336,0.30931034482758624,0.01637931034482757,0.4397055206875891,1.7748302141154122,1,3605597,744.55699104,7893.019607843137,30,6852,0.01698703122744199,8.226151868780275e-4,7.75981713914784e-5,0.02041612961085704,8.938760775331457e-5,11.954893533039945
Baseline,wk inc hosp,ct,2023-2024,Influenza,0.3633298317521642,0.13529149375849972,0.1524311912677634,0.07560714672590112,-0.13936758893280632,-0.07799999999999999,0.5332622497428638,1.0046305690919524,1,3605597,744.55699104,7893.019607843137,30,2719,0.01007682865700643,4.8798122390156294e-4,4.6031791355380714e-5,0.0121109943917388,1.3362627133216778e-4,13.98437734276634
Baseline,wk inc hosp,dc,2022-2023,COVID-19,0.5338565077528319,0.4993080768977737,0.02524493775005003,0.00930349310500815,0.3482037768994291,-0.0570707070707071,0.4906270555907077,1.6828724647612028,1,670050,10961.845722,3231.145604395605,9,3456,0.07967412995341122,4.870133381656727e-5,1.6522205221163077e-4,0.05931738975031465,1.5447236914144442e-4,11.20142362946085
Baseline,wk inc hosp,dc,2022-2023,Influenza,0.4774015517257644,0.1617660486792219,0.16744550504828376,0.14818999799825874,-0.04520380434782609,0.03499999999999999,0.6736510680908545,1.0031334266847147,1,670050,10961.845722,3231.145604395605,9,500,0.0712486458810185,4.35512014885995e-5,1.477499345979067e-4,0.05304461685841827,9.548031034515288e-4,12.992435005910252
Baseline,wk inc hosp,dc,2023-2024,COVID-19,0.5892168200420446,0.5376135173309443,0.01692249856421479,0.0346808041468855,0.3362968515742129,0.01896551724137928,0.6128511958097816,1.4189089701615485,1,670050,10961.845722,2979.2401960784314,9,1536,0.08793624655503986,5.375160670793872e-5,1.9777419115707073e-4,0.06546853556022718,3.836047005482061e-4,14.312258175275572
Baseline,wk inc hosp,dc,2023-2024,Influenza,0.4391429123860875,0.11017846735979832,0.2254211791304874,0.1035432658958018,-0.15438735177865617,-0.05336363636363635,0.700205015552945,0.9426494563564428,1,670050,10961.845722,2979.2401960784314,9,544,0.06553882730931833,4.0061037486118296e-5,1.474009759146411e-4,0.0487936569317875,8.072480007097196e-4,10.883019765741675
Baseline,wk inc hosp,de,2022-2023,COVID-19,0.539041051423168,0.49907202934164574,0.01114562876582901,0.02882339331569332,0.3462274923144488,0.04090909090909088,0.4823482103779723,1.6009986504245013,1,1003384,514.93862029,2521.901098901099,8,3431,0.05372230884917121,0.00104680641572308,2.13743929790923e-4,0.067380131427896,1.5710902110847218e-4,11.830919753892433
Baseline,wk inc hosp,de,2022-2023,Influenza,0.5439674171468215,0.21449089461093135,0.1457924386255063,0.18368408391038385,0.03563858695652174,0.02406249999999999,0.868154214565067,1.0179751874959846,1,1003384,514.93862029,2521.901098901099,8,442,0.05421328396175557,0.00105637331463014,2.1569736314554585e-4,0.06799592714335269,0.00123069551390683,19.017732440473733
Baseline,wk inc hosp,de,2023-2024,COVID-19,0.575351608916775,0.5304306924559403,0.01070055268548554,0.03422036377534909,0.3385457271364318,0.0525862068965517,0.4953379922676531,1.6270481831584331,1,1003384,514.93862029,2491.426470588235,8,1790,0.05734111854651608,0.00111732075677825,2.3093260656451657e-4,0.07191895111459687,3.214254798417737e-4,11.037645784867667
Baseline,wk inc hosp,de,2023-2024,Influenza,0.3877521427587724,0.1386887881888854,0.1439284097451919,0.10513494482469513,-0.03067193675889328,0.04236363636363637,0.5806110660047065,0.9738610507015348,1,1003384,514.93862029,2491.426470588235,8,517,0.03864444148588899,7.530065283128317e-4,1.5563459220501203e-4,0.04846901784484655,7.500041446011072e-4,11.674853829978682
Baseline,wk inc hosp,fl,2022-2023,COVID-19,0.5576393264741983,0.5090383651731334,0.0244241447119601,0.02417681658910481,0.27134826526130873,-0.05136363636363637,0.3056681307152828,2.328965462904141,1,21781128,405.98041819,56061.68681318681,204,83913,0.00256019489199181,0.00137356212637137,9.946888118661291e-6,0.00273352611016763,6.6454461939651586e-6,22.276222808017966
Baseline,wk inc hosp,fl,2022-2023,Influenza,0.3017103663842414,0.12707388831019809,0.10869730191488404,0.0659391761591593,-0.07577445652173913,-0.09625,0.33150674825086185,1.1996257724358188,1,21781128,405.98041819,56061.68681318681,204,16387,0.00138519165024071,7.431648248685731e-4,5.381756838491582e-6,0.00147897238423647,1.8411568095700334e-5,21.81568365245543
Baseline,wk inc hosp,fl,2023-2024,COVID-19,0.6102526373780199,0.560468127214097,0.01803949321795114,0.03174501694597177,0.26995502248875564,0.07068965517241378,0.4141517325602714,2.3274492691591337,1,21781128,405.98041819,56236.117647058825,204,34069,0.00280174946576696,0.00150315781263228,1.0851613925555836e-5,0.00299143449695107,1.791225563937949e-5,25.287843726238545
