location,season,total_admits,max_admits
Alameda,2014-2015,705,116
Alameda,2015-2016,534,48
Alameda,2016-2017,1234,200
Alameda,2017-2018,2037,316
Alameda,2018-2019,1125,108
Alameda,2019-2020,1227,112
Alameda,2020-2021,14,4
Alameda,2021-2022,155,15
Alameda,2022-2023,558,117
Alpine,2014-2015,0,0
Alpine,2015-2016,0,0
Alpine,2016-2017,0,0
Alpine,2017-2018,0,0
Alpine,2018-2019,0,0
Alpine,2019-2020,0,0
Alpine,2020-2021,0,0
Alpine,2021-2022,0,0
Alpine,2022-2023,0,0
Amador,2014-2015,3,1
Amador,2015-2016,7,1
Amador,2016-2017,18,5
Amador,2017-2018,68,22
Amador,2018-2019,41,4
Amador,2019-2020,40,5
Amador,2020-2021,1,1
Amador,2021-2022,3,2
Amador,2022-2023,27,9
Butte,2014-2015,88,17
Butte,2015-2016,88,14
Butte,2016-2017,180,30
Butte,2017-2018,538,71
Butte,2018-2019,208,24
Butte,2019-2020,232,30
Butte,2020-2021,6,2
Butte,2021-2022,109,21
Butte,2022-2023,168,44
Calaveras,2014-2015,2,1
Calaveras,2015-2016,0,0
Calaveras,2016-2017,2,1
Calaveras,2017-2018,11,4
Calaveras,2018-2019,5,1
Calaveras,2019-2020,18,5
Calaveras,2020-2021,0,0
Calaveras,2021-2022,4,1
Calaveras,2022-2023,14,5
California,1999-2000,2298,817
California,2000-2001,1819,167
California,2001-2002,1586,121
California,2002-2003,1570,148
California,2003-2004,5487,1152
California,2004-2005,1862,152
California,2005-2006,3641,596
California,2006-2007,1952,188
California,2007-2008,4113,518
California,2008-2009,6738,394
California,2009-2010,8807,1071
California,2010-2011,5692,596
California,2011-2012,3671,332
California,2012-2013,10678,1617
California,2013-2014,8877,1207
California,2014-2015,14640,1758
California,2015-2016,11815,1325
California,2016-2017,19109,2288
California,2017-2018,41345,6956
California,2018-2019,22317,1679
California,2019-2020,27600,2376
California,2020-2021,915,53
California,2021-2022,6132,483
California,2022-2023,17654,3765
Colusa,2014-2015,2,1
Colusa,2015-2016,0,0
Colusa,2016-2017,0,0
Colusa,2017-2018,13,3
Colusa,2018-2019,4,1
Colusa,2019-2020,5,2
Colusa,2020-2021,0,0
Colusa,2021-2022,0,0
Colusa,2022-2023,2,2
Contra Costa,2014-2015,397,60
Contra Costa,2015-2016,313,40
Contra Costa,2016-2017,828,145
