location,omega,pop,season
Alameda,15.08009272463423,1685886,2014-2015
Amador,10.457079355561127,38531,2014-2015
Butte,9.495283504338381,217769,2014-2015
California,30.703070556250456,40129160,2014-2015
Contra Costa,10.901712877598301,1160099,2014-2015
Del Norte,11.01923059627138,27558,2014-2015
El Dorado,10.32309515698049,193098,2014-2015
Fresno,9.615976402905646,1032227,2014-2015
Humboldt,11.90928989802118,134098,2014-2015
Imperial,9.778170392274955,191649,2014-2015
Kern,10.122813833653932,927251,2014-2015
Kings,10.811471585725718,156444,2014-2015
Lake,10.482849020678653,64871,2014-2015
Lassen,10.891187938238511,30065,2014-2015
Los Angeles,23.86641525045117,10257557,2014-2015
Madera,10.878270162595394,160089,2014-2015
Marin,9.44042768793839,260800,2014-2015
Mendocino,10.829459163842102,88439,2014-2015
Merced,9.946611007612127,287420,2014-2015
Monterey,11.663945264332042,448732,2014-2015
Napa,9.973774233981924,139652,2014-2015
Nevada,9.778997706048164,98710,2014-2015
Orange,22.11292620838291,3228519,2014-2015
Placer,8.792031636000097,400434,2014-2015
Riverside,10.962751560744099,2468145,2014-2015
Sacramento,12.439209514412841,1567975,2014-2015
San Benito,12.64131149201111,64022,2014-2015
San Bernardino,10.840145313395999,2217398,2014-2015
San Diego,16.76497922341389,3370418,2014-2015
San Francisco,11.921123200222484,892280,2014-2015
San Joaquin,10.901593486687656,782545,2014-2015
San Luis.Obispo,13.53991333193536,NA,2014-2015
San Mateo,10.797447130327797,778001,2014-2015
Santa Barbara,9.109776215668042,456373,2014-2015
Santa Clara,16.188593553393616,1967585,2014-2015
Santa Cruz,12.578698484742256,273999,2014-2015
Shasta,12.2276583153624,177925,2014-2015
Siskiyou,10.109785903091906,43956,2014-2015
Solano,9.71961838189973,444255,2014-2015
Sonoma,11.796690486006467,496668,2014-2015
Stanislaus,8.346024479270465,562303,2014-2015
Tehama,9.556065923115309,65885,2014-2015
Tulare,10.54653883456843,484423,2014-2015
Tuolumne,11.156194909812456,52351,2014-2015
Ventura,9.08830598785515,852747,2014-2015
Yolo,7.907086193082879,223612,2014-2015
Alameda,11.61392600303529,1685886,2015-2016
Amador,10.932669191585664,38531,2015-2016
Butte,9.823203178161277,217769,2015-2016
California,27.66463589531567,40129160,2015-2016
Contra Costa,10.42657232087647,1160099,2015-2016
Del Norte,10.21451643060567,27558,2015-2016
El Dorado,11.616970449481212,193098,2015-2016
Fresno,10.55660952409766,1032227,2015-2016
Humboldt,12.060919577064677,134098,2015-2016
Imperial,12.728039638148669,191649,2015-2016
Kern,11.400014865381936,927251,2015-2016
Kings,13.868525252839415,156444,2015-2016
Lake,10.944886098163032,64871,2015-2016
Lassen,4.994531868249597,30065,2015-2016
Los Angeles,25.785526801761073,10257557,2015-2016
Madera,10.117219488763475,160089,2015-2016
Marin,11.91252539954516,260800,2015-2016
Mendocino,8.228774817136964,88439,2015-2016
Merced,9.801312781973003,287420,2015-2016
Monterey,12.039751262097765,448732,2015-2016
Napa,12.828323448212497,139652,2015-2016
Nevada,11.085624906754566,98710,2015-2016
Orange,13.182107402166231,3228519,2015-2016
Placer,11.768217640975486,400434,2015-2016
Riverside,12.116167343407424,2468145,2015-2016
Sacramento,11.208393578399068,1567975,2015-2016
San Benito,12.006640226612152,64022,2015-2016
San Bernardino,10.722483233342395,2217398,2015-2016
San Diego,16.380785919816066,3370418,2015-2016
San Francisco,10.915383179404891,892280,2015-2016
San Joaquin,13.513032580137441,782545,2015-2016
San Luis.Obispo,10.229784968245536,NA,2015-2016
San Mateo,11.746077687074152,778001,2015-2016
Santa Barbara,13.237435862860192,456373,2015-2016
Santa Clara,12.01298519888675,1967585,2015-2016
Santa Cruz,9.377573050167332,273999,2015-2016
Shasta,12.909181174419492,177925,2015-2016
