season,cadence,disease,term,estimate,std.error,statistic,p.value
2022-2023,Daily,Influenza,(Intercept),19.61144757122663,0.8406706413813245,23.328336456477924,1.5643505100868132e-28
2022-2023,Daily,Influenza,pop,6.260735346956564e-8,1.8068839397928557e-8,3.4649349684708057,0.0010976812440655578
2023-2024,Daily,Influenza,(Intercept),14.997541013999962,0.6196718265662007,24.202392897392354,2.879731011130702e-29
2023-2024,Daily,Influenza,pop,6.695107844090175e-8,1.3318831611923654e-8,5.026798175071449,6.775705082861434e-6
2022-2023,Weekly,Influenza,(Intercept),11.395954730937522,0.6146898820427759,18.53935628981849,4.7148798611967745e-24
2022-2023,Weekly,Influenza,pop,2.4825576746405956e-8,1.3211752869010444e-8,1.879052461285206,0.06607244401395931
2023-2024,Weekly,Influenza,(Intercept),8.866878662068657,0.4544923731627979,19.50941134691509,4.98841010214781e-25
2023-2024,Weekly,Influenza,pop,7.729556066418392e-9,9.768569632416857e-9,0.7912679498918626,0.4325252753043134
2022-2023,Daily,COVID-19,(Intercept),13.080570083021977,0.45646018755433715,28.6565410076752,1.0813037119636403e-32
2022-2023,Daily,COVID-19,pop,6.216325037605071e-8,9.81086458177685e-9,6.336164346974638,6.554517744548817e-8
2023-2024,Daily,COVID-19,(Intercept),14.378251513671428,0.554513053411707,25.929509549337997,1.1774910914376249e-30
2023-2024,Daily,COVID-19,pop,6.755505178377901e-8,1.1918350437084377e-8,5.668154510172736,7.143063675115825e-7
2022-2023,Weekly,COVID-19,(Intercept),12.556947274347781,0.5082187975013273,24.70775842232594,1.1080633025863262e-29
2022-2023,Weekly,COVID-19,pop,2.4753288441758052e-8,1.0923331182317955e-8,2.266093376517524,0.027806720352622667
2023-2024,Weekly,COVID-19,(Intercept),11.857607866116357,0.8067531423080702,14.69793824687498,8.802153507426167e-20
2023-2024,Weekly,COVID-19,pop,3.02966819503401e-8,1.7339838272675705e-8,1.7472297880702798,0.08673736955156745
