state,omega,pop,season,cadence,location_level,disease
us,30.230308523340288,328239523,2022-2024,Daily,state,COVID-19
ri,9.874629940923752,1059361,2022-2024,Daily,state,COVID-19
ny,17.318802252466746,19453561,2022-2024,Daily,state,COVID-19
ms,13.12082999097004,2976149,2022-2024,Daily,state,COVID-19
me,13.935510191877176,1344212,2022-2024,Daily,state,COVID-19
ga,18.253833636247606,10617423,2022-2024,Daily,state,COVID-19
ak,9.825323430251487,731545,2022-2024,Daily,state,COVID-19
al,13.557941258877282,4903185,2022-2024,Daily,state,COVID-19
ar,11.552088920805904,3017804,2022-2024,Daily,state,COVID-19
az,15.241066574773265,7278717,2022-2024,Daily,state,COVID-19
ca,22.710715592455188,39512223,2022-2024,Daily,state,COVID-19
co,12.023290500726835,5758736,2022-2024,Daily,state,COVID-19
ct,10.81293715570223,3565287,2022-2024,Daily,state,COVID-19
dc,10.342054782598286,705749,2022-2024,Daily,state,COVID-19
de,9.718808805527534,973764,2022-2024,Daily,state,COVID-19
fl,22.82277954190375,21477737,2022-2024,Daily,state,COVID-19
hi,10.783505216525146,1415872,2022-2024,Daily,state,COVID-19
ia,11.744614962311262,3155070,2022-2024,Daily,state,COVID-19
id,9.215372652156983,1787065,2022-2024,Daily,state,COVID-19
il,15.777798512297036,12671821,2022-2024,Daily,state,COVID-19
in,15.447569332304056,6732219,2022-2024,Daily,state,COVID-19
ks,11.924285823067638,2913314,2022-2024,Daily,state,COVID-19
ky,10.929347174434035,4467673,2022-2024,Daily,state,COVID-19
la,12.057346720379448,4648794,2022-2024,Daily,state,COVID-19
ma,14.981280518147134,6892503,2022-2024,Daily,state,COVID-19
md,10.348687014731816,6045680,2022-2024,Daily,state,COVID-19
mi,12.935244507769482,9986857,2022-2024,Daily,state,COVID-19
mn,10.832239553385847,5639632,2022-2024,Daily,state,COVID-19
mo,12.967155966778222,6137428,2022-2024,Daily,state,COVID-19
mt,10.119760740690676,1068778,2022-2024,Daily,state,COVID-19
nc,16.989479758462657,10488084,2022-2024,Daily,state,COVID-19
ne,10.426625674380341,1934408,2022-2024,Daily,state,COVID-19
nh,12.42176822177502,1359711,2022-2024,Daily,state,COVID-19
nj,15.34570910754799,8882190,2022-2024,Daily,state,COVID-19
nm,9.009020518845078,2096829,2022-2024,Daily,state,COVID-19
nv,11.625077909642501,3080156,2022-2024,Daily,state,COVID-19
oh,17.607856773738295,11689100,2022-2024,Daily,state,COVID-19
ok,11.467932358132272,3956971,2022-2024,Daily,state,COVID-19
or,9.765986802389692,4217737,2022-2024,Daily,state,COVID-19
pa,14.417080858372255,12801989,2022-2024,Daily,state,COVID-19
sc,15.071983081439145,5148714,2022-2024,Daily,state,COVID-19
sd,9.728963695149195,884659,2022-2024,Daily,state,COVID-19
tn,12.984252014803822,6829174,2022-2024,Daily,state,COVID-19
tx,19.579040052796913,28995881,2022-2024,Daily,state,COVID-19
ut,10.05993158065599,3205958,2022-2024,Daily,state,COVID-19
va,14.656322592480908,8535519,2022-2024,Daily,state,COVID-19
vt,10.304950920715072,623989,2022-2024,Daily,state,COVID-19
wa,10.206184244555683,7614893,2022-2024,Daily,state,COVID-19
wi,10.033333743007267,5822434,2022-2024,Daily,state,COVID-19
wv,10.15910710858191,1792147,2022-2024,Daily,state,COVID-19
wy,9.879204091504757,578759,2022-2024,Daily,state,COVID-19
nd,10.034932366164728,762062,2022-2024,Daily,state,COVID-19
us,30.88740683149327,328239523,2022-2023,Daily,state,COVID-19
ri,8.810239568281853,1059361,2022-2023,Daily,state,COVID-19
ny,15.01534889573356,19453561,2022-2023,Daily,state,COVID-19
ms,13.483404058912463,2976149,2022-2023,Daily,state,COVID-19
me,10.42110323523463,1344212,2022-2023,Daily,state,COVID-19
ga,20.23422308772229,10617423,2022-2023,Daily,state,COVID-19
ak,11.440093875217416,731545,2022-2023,Daily,state,COVID-19
al,15.956524560052642,4903185,2022-2023,Daily,state,COVID-19
ar,12.807213634569658,3017804,2022-2023,Daily,state,COVID-19
az,19.441074080642363,7278717,2022-2023,Daily,state,COVID-19
ca,24.125839753207735,39512223,2022-2023,Daily,state,COVID-19
co,13.880150929551371,5758736,2022-2023,Daily,state,COVID-19
ct,11.351642113512728,3565287,2022-2023,Daily,state,COVID-19
dc,9.2141462219675,705749,2022-2023,Daily,state,COVID-19
de,10.95596274193934,973764,2022-2023,Daily,state,COVID-19
fl,23.990255278642923,21477737,2022-2023,Daily,state,COVID-19
hi,11.427104484401863,1415872,2022-2023,Daily,state,COVID-19
ia,12.607899093814613,3155070,2022-2023,Daily,state,COVID-19
id,8.514325060266392,1787065,2022-2023,Daily,state,COVID-19
il,16.36674887582561,12671821,2022-2023,Daily,state,COVID-19
in,15.51863526941839,6732219,2022-2023,Daily,state,COVID-19
ks,11.919333974601509,2913314,2022-2023,Daily,state,COVID-19
ky,12.698938263742187,4467673,2022-2023,Daily,state,COVID-19
la,13.116454987304715,4648794,2022-2023,Daily,state,COVID-19
ma,15.348126994799415,6892503,2022-2023,Daily,state,COVID-19
md,11.267797872574636,6045680,2022-2023,Daily,state,COVID-19
mi,13.356180075804025,9986857,2022-2023,Daily,state,COVID-19
mn,11.795037109557782,5639632,2022-2023,Daily,state,COVID-19
mo,12.71690741302095,6137428,2022-2023,Daily,state,COVID-19
mt,9.758961452896953,1068778,2022-2023,Daily,state,COVID-19
nc,18.02365532287017,10488084,2022-2023,Daily,state,COVID-19
ne,11.579011691911933,1934408,2022-2023,Daily,state,COVID-19
nh,12.166704334306456,1359711,2022-2023,Daily,state,COVID-19
nj,14.297623133246862,8882190,2022-2023,Daily,state,COVID-19
nm,10.102301537939773,2096829,2022-2023,Daily,state,COVID-19
nv,14.367554317160103,3080156,2022-2023,Daily,state,COVID-19
oh,17.926600044415476,11689100,2022-2023,Daily,state,COVID-19
ok,12.225924390490238,3956971,2022-2023,Daily,state,COVID-19
or,11.566728330417863,4217737,2022-2023,Daily,state,COVID-19
pa,14.000438287489892,12801989,2022-2023,Daily,state,COVID-19
sc,17.120933533222903,5148714,2022-2023,Daily,state,COVID-19
sd,11.178789947159606,884659,2022-2023,Daily,state,COVID-19
tn,13.835153136302281,6829174,2022-2023,Daily,state,COVID-19
tx,19.08371804683915,28995881,2022-2023,Daily,state,COVID-19
ut,10.539213484418198,3205958,2022-2023,Daily,state,COVID-19
