state,omega,pop,season,cadence,location_level,disease
us,29.751915129492666,328239523,2022-2024,Daily,state,COVID-19
ri,9.478988274829547,1059361,2022-2024,Daily,state,COVID-19
ny,17.753983339890954,19453561,2022-2024,Daily,state,COVID-19
ms,13.751654129988466,2976149,2022-2024,Daily,state,COVID-19
me,15.643307696797393,1344212,2022-2024,Daily,state,COVID-19
ga,18.139301082688696,10617423,2022-2024,Daily,state,COVID-19
ak,10.212430988803767,731545,2022-2024,Daily,state,COVID-19
al,14.090639810752792,4903185,2022-2024,Daily,state,COVID-19
ar,11.34364188073167,3017804,2022-2024,Daily,state,COVID-19
az,14.93814526816869,7278717,2022-2024,Daily,state,COVID-19
ca,23.260644113496877,39512223,2022-2024,Daily,state,COVID-19
co,12.633705702650976,5758736,2022-2024,Daily,state,COVID-19
ct,10.975834623282022,3565287,2022-2024,Daily,state,COVID-19
dc,11.709344197769834,705749,2022-2024,Daily,state,COVID-19
de,9.415887136271806,973764,2022-2024,Daily,state,COVID-19
fl,21.65507994575283,21477737,2022-2024,Daily,state,COVID-19
hi,10.928059337702646,1415872,2022-2024,Daily,state,COVID-19
ia,11.33316083684508,3155070,2022-2024,Daily,state,COVID-19
id,9.610925534853898,1787065,2022-2024,Daily,state,COVID-19
il,17.027648674521956,12671821,2022-2024,Daily,state,COVID-19
in,15.02490980568304,6732219,2022-2024,Daily,state,COVID-19
ks,12.016937828808949,2913314,2022-2024,Daily,state,COVID-19
ky,11.457184024248136,4467673,2022-2024,Daily,state,COVID-19
la,12.471064128074183,4648794,2022-2024,Daily,state,COVID-19
ma,15.676963994673908,6892503,2022-2024,Daily,state,COVID-19
md,10.94578393577148,6045680,2022-2024,Daily,state,COVID-19
mi,13.986236746790015,9986857,2022-2024,Daily,state,COVID-19
mn,11.226990295977657,5639632,2022-2024,Daily,state,COVID-19
mo,13.36773593916808,6137428,2022-2024,Daily,state,COVID-19
mt,11.509307331389174,1068778,2022-2024,Daily,state,COVID-19
nc,16.60910571837264,10488084,2022-2024,Daily,state,COVID-19
ne,11.013777776778467,1934408,2022-2024,Daily,state,COVID-19
nh,12.476387071103767,1359711,2022-2024,Daily,state,COVID-19
nj,15.719907560274848,8882190,2022-2024,Daily,state,COVID-19
nm,9.61485464106696,2096829,2022-2024,Daily,state,COVID-19
nv,11.95512235478593,3080156,2022-2024,Daily,state,COVID-19
oh,17.299628285444346,11689100,2022-2024,Daily,state,COVID-19
ok,11.42168855149517,3956971,2022-2024,Daily,state,COVID-19
or,10.476019750046127,4217737,2022-2024,Daily,state,COVID-19
pa,15.546277868313041,12801989,2022-2024,Daily,state,COVID-19
sc,15.640221800804122,5148714,2022-2024,Daily,state,COVID-19
sd,9.628752494216364,884659,2022-2024,Daily,state,COVID-19
tn,13.591853118732844,6829174,2022-2024,Daily,state,COVID-19
tx,20.259557761896385,28995881,2022-2024,Daily,state,COVID-19
ut,10.138801590796142,3205958,2022-2024,Daily,state,COVID-19
va,14.803197641227728,8535519,2022-2024,Daily,state,COVID-19
vt,11.376065168457872,623989,2022-2024,Daily,state,COVID-19
wa,11.41362165381099,7614893,2022-2024,Daily,state,COVID-19
wi,11.10804030832291,5822434,2022-2024,Daily,state,COVID-19
wv,11.598322404819994,1792147,2022-2024,Daily,state,COVID-19
wy,10.968044150487543,578759,2022-2024,Daily,state,COVID-19
nd,10.455809943417105,762062,2022-2024,Daily,state,COVID-19
us,30.88342890338005,328239523,2022-2023,Daily,state,COVID-19
ri,8.533119549715806,1059361,2022-2023,Daily,state,COVID-19
ny,17.612290537133713,19453561,2022-2023,Daily,state,COVID-19
ms,15.654303780002177,2976149,2022-2023,Daily,state,COVID-19
me,13.400484181639493,1344212,2022-2023,Daily,state,COVID-19
ga,19.348736046020797,10617423,2022-2023,Daily,state,COVID-19
ak,11.575084404870283,731545,2022-2023,Daily,state,COVID-19
al,14.199152960488648,4903185,2022-2023,Daily,state,COVID-19
ar,14.074662947845207,3017804,2022-2023,Daily,state,COVID-19
az,17.715813040059423,7278717,2022-2023,Daily,state,COVID-19
ca,25.992928812588122,39512223,2022-2023,Daily,state,COVID-19
co,13.124882540451143,5758736,2022-2023,Daily,state,COVID-19
ct,11.302134177143975,3565287,2022-2023,Daily,state,COVID-19
dc,11.20142362946085,705749,2022-2023,Daily,state,COVID-19
de,11.830919753892433,973764,2022-2023,Daily,state,COVID-19
fl,22.276222808017966,21477737,2022-2023,Daily,state,COVID-19
hi,12.092707419988391,1415872,2022-2023,Daily,state,COVID-19
ia,10.377112629479868,3155070,2022-2023,Daily,state,COVID-19
id,10.028804996937634,1787065,2022-2023,Daily,state,COVID-19
il,17.142015732953343,12671821,2022-2023,Daily,state,COVID-19
in,14.478989099089912,6732219,2022-2023,Daily,state,COVID-19
ks,11.9409837090105,2913314,2022-2023,Daily,state,COVID-19
ky,12.869001866526608,4467673,2022-2023,Daily,state,COVID-19
la,13.553123652944398,4648794,2022-2023,Daily,state,COVID-19
ma,15.849850416143186,6892503,2022-2023,Daily,state,COVID-19
md,12.739062194720695,6045680,2022-2023,Daily,state,COVID-19
mi,14.244130505437347,9986857,2022-2023,Daily,state,COVID-19
mn,12.918526507679351,5639632,2022-2023,Daily,state,COVID-19
mo,13.541523650796062,6137428,2022-2023,Daily,state,COVID-19
mt,9.840191574620604,1068778,2022-2023,Daily,state,COVID-19
nc,18.225319035010767,10488084,2022-2023,Daily,state,COVID-19
ne,10.843878885295688,1934408,2022-2023,Daily,state,COVID-19
nh,13.733878263491084,1359711,2022-2023,Daily,state,COVID-19
nj,15.822298941027658,8882190,2022-2023,Daily,state,COVID-19
nm,10.590924841739302,2096829,2022-2023,Daily,state,COVID-19
nv,13.351502347854716,3080156,2022-2023,Daily,state,COVID-19
oh,18.403513935539305,11689100,2022-2023,Daily,state,COVID-19
ok,11.799420311982733,3956971,2022-2023,Daily,state,COVID-19
or,11.000465959873729,4217737,2022-2023,Daily,state,COVID-19
pa,13.692486869747745,12801989,2022-2023,Daily,state,COVID-19
sc,18.088114049807103,5148714,2022-2023,Daily,state,COVID-19
sd,11.426346180113745,884659,2022-2023,Daily,state,COVID-19
tn,13.978087665716842,6829174,2022-2023,Daily,state,COVID-19
tx,21.90855949435877,28995881,2022-2023,Daily,state,COVID-19
ut,10.568322233744787,3205958,2022-2023,Daily,state,COVID-19
va,16.11612030154801,8535519,2022-2023,Daily,state,COVID-19
vt,11.170265021551861,623989,2022-2023,Daily,state,COVID-19
wa,11.634019950138065,7614893,2022-2023,Daily,state,COVID-19
wi,11.876688254029855,5822434,2022-2023,Daily,state,COVID-19
wv,10.094244429171194,1792147,2022-2023,Daily,state,COVID-19
wy,13.481633861560827,578759,2022-2023,Daily,state,COVID-19
nd,12.760518625524519,762062,2022-2023,Daily,state,COVID-19
us,33.866213528823586,328239523,2023-2024,Daily,state,COVID-19
ri,12.568287504738763,1059361,2023-2024,Daily,state,COVID-19
ny,25.113343279982093,19453561,2023-2024,Daily,state,COVID-19
ms,14.595200382913742,2976149,2023-2024,Daily,state,COVID-19
me,14.74574985963063,1344212,2023-2024,Daily,state,COVID-19
ga,17.986889496526924,10617423,2023-2024,Daily,state,COVID-19
ak,11.621711707632477,731545,2023-2024,Daily,state,COVID-19
al,15.3271526862507,4903185,2023-2024,Daily,state,COVID-19
ar,11.01825196545212,3017804,2023-2024,Daily,state,COVID-19
az,14.386903211934465,7278717,2023-2024,Daily,state,COVID-19
ca,22.47149289437652,39512223,2023-2024,Daily,state,COVID-19
co,12.488492399017836,5758736,2023-2024,Daily,state,COVID-19
ct,11.954893533039945,3565287,2023-2024,Daily,state,COVID-19
dc,14.312258175275572,705749,2023-2024,Daily,state,COVID-19
de,11.037645784867667,973764,2023-2024,Daily,state,COVID-19
fl,25.287843726238545,21477737,2023-2024,Daily,state,COVID-19
hi,13.527436035704222,1415872,2023-2024,Daily,state,COVID-19
ia,12.939615375713064,3155070,2023-2024,Daily,state,COVID-19
id,11.130201143738939,1787065,2023-2024,Daily,state,COVID-19
il,19.602505238362756,12671821,2023-2024,Daily,state,COVID-19
in,15.644509806038032,6732219,2023-2024,Daily,state,COVID-19
ks,15.563105475225502,2913314,2023-2024,Daily,state,COVID-19
ky,14.314281787308547,4467673,2023-2024,Daily,state,COVID-19
la,13.985574779768084,4648794,2023-2024,Daily,state,COVID-19
ma,16.255603506926054,6892503,2023-2024,Daily,state,COVID-19
md,12.32431427593459,6045680,2023-2024,Daily,state,COVID-19
mi,19.28520241365922,9986857,2023-2024,Daily,state,COVID-19
mn,13.683697761731183,5639632,2023-2024,Daily,state,COVID-19
mo,15.595436606003831,6137428,2023-2024,Daily,state,COVID-19
mt,10.990565408309527,1068778,2023-2024,Daily,state,COVID-19
nc,16.488700720950757,10488084,2023-2024,Daily,state,COVID-19
ne,12.353806235796982,1934408,2023-2024,Daily,state,COVID-19
nh,11.573962316734121,1359711,2023-2024,Daily,state,COVID-19
nj,20.286264532492815,8882190,2023-2024,Daily,state,COVID-19
nm,10.58225783892981,2096829,2023-2024,Daily,state,COVID-19
nv,11.455619851508192,3080156,2023-2024,Daily,state,COVID-19
oh,19.368953408079324,11689100,2023-2024,Daily,state,COVID-19
ok,12.828473254472117,3956971,2023-2024,Daily,state,COVID-19
or,12.270397464857952,4217737,2023-2024,Daily,state,COVID-19
pa,18.676276059431252,12801989,2023-2024,Daily,state,COVID-19
sc,13.73764560145483,5148714,2023-2024,Daily,state,COVID-19
sd,11.855498011749932,884659,2023-2024,Daily,state,COVID-19
tn,17.511453183329994,6829174,2023-2024,Daily,state,COVID-19
tx,20.25989881510225,28995881,2023-2024,Daily,state,COVID-19
ut,9.979892162887772,3205958,2023-2024,Daily,state,COVID-19
va,18.876193690455967,8535519,2023-2024,Daily,state,COVID-19
vt,10.174975506057383,623989,2023-2024,Daily,state,COVID-19
wa,13.91480505333188,7614893,2023-2024,Daily,state,COVID-19
wi,13.521041810429256,5822434,2023-2024,Daily,state,COVID-19
wv,14.286167331879007,1792147,2023-2024,Daily,state,COVID-19
wy,9.885326307218257,578759,2023-2024,Daily,state,COVID-19
nd,14.41201675338386,762062,2023-2024,Daily,state,COVID-19
us,23.1359895164564,328239523,2022-2024,Weekly,state,COVID-19
ri,10.967023488358507,1059361,2022-2024,Weekly,state,COVID-19
ny,16.186938426070864,19453561,2022-2024,Weekly,state,COVID-19
ms,18.97439758138122,2976149,2022-2024,Weekly,state,COVID-19
me,5.6271070349844905,1344212,2022-2024,Weekly,state,COVID-19
ga,10.75144913278031,10617423,2022-2024,Weekly,state,COVID-19
ak,9.645503469663963,731545,2022-2024,Weekly,state,COVID-19
al,20.43946993352508,4903185,2022-2024,Weekly,state,COVID-19
ar,17.83037712638609,3017804,2022-2024,Weekly,state,COVID-19
az,20.346779828777283,7278717,2022-2024,Weekly,state,COVID-19
ca,23.7651629722592,39512223,2022-2024,Weekly,state,COVID-19
co,11.412403309030172,5758736,2022-2024,Weekly,state,COVID-19
ct,12.272010602294081,3565287,2022-2024,Weekly,state,COVID-19
dc,7.46394798686193,705749,2022-2024,Weekly,state,COVID-19
de,10.389383770958638,973764,2022-2024,Weekly,state,COVID-19
fl,24.51709728149004,21477737,2022-2024,Weekly,state,COVID-19
hi,10.182298765872178,1415872,2022-2024,Weekly,state,COVID-19
ia,12.164339924740176,3155070,2022-2024,Weekly,state,COVID-19
id,14.262585860502675,1787065,2022-2024,Weekly,state,COVID-19
il,18.34804519302611,12671821,2022-2024,Weekly,state,COVID-19
in,16.851371080311463,6732219,2022-2024,Weekly,state,COVID-19
ks,14.969816802168545,2913314,2022-2024,Weekly,state,COVID-19
ky,10.185739803209227,4467673,2022-2024,Weekly,state,COVID-19
la,19.91189789632334,4648794,2022-2024,Weekly,state,COVID-19
ma,17.385022071820323,6892503,2022-2024,Weekly,state,COVID-19
md,14.320796775973676,6045680,2022-2024,Weekly,state,COVID-19
mi,17.508631011608244,9986857,2022-2024,Weekly,state,COVID-19
mn,14.13472737453998,5639632,2022-2024,Weekly,state,COVID-19
mo,16.904664733978713,6137428,2022-2024,Weekly,state,COVID-19
mt,9.832338952130504,1068778,2022-2024,Weekly,state,COVID-19
nc,14.768525364396023,10488084,2022-2024,Weekly,state,COVID-19
ne,12.184015366386857,1934408,2022-2024,Weekly,state,COVID-19
nh,7.05282676728144,1359711,2022-2024,Weekly,state,COVID-19
nj,14.513673568773655,8882190,2022-2024,Weekly,state,COVID-19
nm,11.132841221240975,2096829,2022-2024,Weekly,state,COVID-19
