state,omega,pop,season,cadence,location_level,disease
ak,9.93275408134674,731545,2022-2024,Daily,state,Influenza
al,15.757836167387374,4903185,2022-2024,Daily,state,Influenza
ar,15.05440035729617,3017804,2022-2024,Daily,state,Influenza
az,27.46329650896512,7278717,2022-2024,Daily,state,Influenza
ca,28.913867855336573,39512223,2022-2024,Daily,state,Influenza
co,12.077445327994663,5758736,2022-2024,Daily,state,Influenza
ct,14.444852415187981,3565287,2022-2024,Daily,state,Influenza
dc,10.978415239802807,705749,2022-2024,Daily,state,Influenza
de,13.273912613629069,973764,2022-2024,Daily,state,Influenza
fl,18.95941178535161,21477737,2022-2024,Daily,state,Influenza
ga,16.408917654454225,10617423,2022-2024,Daily,state,Influenza
hi,10.06381976283559,1415872,2022-2024,Daily,state,Influenza
ia,15.37800013110292,3155070,2022-2024,Daily,state,Influenza
id,14.918371853846402,1787065,2022-2024,Daily,state,Influenza
il,22.16496699702558,12671821,2022-2024,Daily,state,Influenza
in,21.32782892776538,6732219,2022-2024,Daily,state,Influenza
ks,16.370108280243333,2913314,2022-2024,Daily,state,Influenza
ky,20.80183207450276,4467673,2022-2024,Daily,state,Influenza
la,13.84578770668461,4648794,2022-2024,Daily,state,Influenza
ma,22.55516528146768,6892503,2022-2024,Daily,state,Influenza
md,18.344685789824812,6045680,2022-2024,Daily,state,Influenza
me,15.81700005751241,1344212,2022-2024,Daily,state,Influenza
mi,22.073871416381095,9986857,2022-2024,Daily,state,Influenza
mn,17.18768786974958,5639632,2022-2024,Daily,state,Influenza
mo,21.798917898730497,6137428,2022-2024,Daily,state,Influenza
ms,13.73125508810935,2976149,2022-2024,Daily,state,Influenza
mt,11.36138951920147,1068778,2022-2024,Daily,state,Influenza
nc,21.395126442184818,10488084,2022-2024,Daily,state,Influenza
nd,10.000828949623608,762062,2022-2024,Daily,state,Influenza
ne,11.409827620891821,1934408,2022-2024,Daily,state,Influenza
nh,13.1284049398111,1359711,2022-2024,Daily,state,Influenza
nj,23.055989486863528,8882190,2022-2024,Daily,state,Influenza
nm,16.36314668782275,2096829,2022-2024,Daily,state,Influenza
nv,16.984584970245365,3080156,2022-2024,Daily,state,Influenza
ny,25.398239470788162,19453561,2022-2024,Daily,state,Influenza
oh,21.908742509508293,11689100,2022-2024,Daily,state,Influenza
ok,25.325514459100617,3956971,2022-2024,Daily,state,Influenza
or,23.871297974574613,4217737,2022-2024,Daily,state,Influenza
pa,20.634542524412012,12801989,2022-2024,Daily,state,Influenza
ri,9.724077106139784,1059361,2022-2024,Daily,state,Influenza
sc,19.017814611388385,5148714,2022-2024,Daily,state,Influenza
sd,12.153898513650718,884659,2022-2024,Daily,state,Influenza
tn,18.26257630872352,6829174,2022-2024,Daily,state,Influenza
tx,26.43367496502823,28995881,2022-2024,Daily,state,Influenza
us,33.768532514060965,328239523,2022-2024,Daily,state,Influenza
ut,12.223968842572353,3205958,2022-2024,Daily,state,Influenza
va,19.22006403649038,8535519,2022-2024,Daily,state,Influenza
vt,10.579565334941298,623989,2022-2024,Daily,state,Influenza
wa,20.580621773077745,7614893,2022-2024,Daily,state,Influenza
