state,omega,pop,season,cadence,location_level,disease
ak,9.864848317650255,731545,2022-2024,Daily,state,Influenza
al,16.925094690156595,4903185,2022-2024,Daily,state,Influenza
ar,15.825588196320417,3017804,2022-2024,Daily,state,Influenza
az,28.635009328938455,7278717,2022-2024,Daily,state,Influenza
ca,29.730025522549386,39512223,2022-2024,Daily,state,Influenza
co,12.181614310063916,5758736,2022-2024,Daily,state,Influenza
ct,15.00635480840964,3565287,2022-2024,Daily,state,Influenza
dc,11.309228216119905,705749,2022-2024,Daily,state,Influenza
de,13.791170023289201,973764,2022-2024,Daily,state,Influenza
fl,19.497990722077464,21477737,2022-2024,Daily,state,Influenza
ga,16.94513041951723,10617423,2022-2024,Daily,state,Influenza
hi,10.891192149970086,1415872,2022-2024,Daily,state,Influenza
ia,15.942017806446906,3155070,2022-2024,Daily,state,Influenza
id,15.316236553587547,1787065,2022-2024,Daily,state,Influenza
il,23.20347827809338,12671821,2022-2024,Daily,state,Influenza
in,22.210266968067003,6732219,2022-2024,Daily,state,Influenza
ks,16.984096731286403,2913314,2022-2024,Daily,state,Influenza
ky,21.587984550350924,4467673,2022-2024,Daily,state,Influenza
la,14.299688919998054,4648794,2022-2024,Daily,state,Influenza
ma,23.229183253715746,6892503,2022-2024,Daily,state,Influenza
md,18.874365776186874,6045680,2022-2024,Daily,state,Influenza
me,16.679245930011767,1344212,2022-2024,Daily,state,Influenza
mi,23.04992848327585,9986857,2022-2024,Daily,state,Influenza
mn,17.94268366205174,5639632,2022-2024,Daily,state,Influenza
mo,22.48087041783614,6137428,2022-2024,Daily,state,Influenza
ms,14.635537188783198,2976149,2022-2024,Daily,state,Influenza
mt,11.678078938473657,1068778,2022-2024,Daily,state,Influenza
nc,22.234647932981687,10488084,2022-2024,Daily,state,Influenza
nd,10.41071509297884,762062,2022-2024,Daily,state,Influenza
ne,11.987089622908186,1934408,2022-2024,Daily,state,Influenza
nh,13.632991976912589,1359711,2022-2024,Daily,state,Influenza
nj,23.82006953518139,8882190,2022-2024,Daily,state,Influenza
nm,16.773149654243813,2096829,2022-2024,Daily,state,Influenza
nv,17.84813329027244,3080156,2022-2024,Daily,state,Influenza
ny,25.795444826246307,19453561,2022-2024,Daily,state,Influenza
oh,22.694644478368087,11689100,2022-2024,Daily,state,Influenza
ok,26.03975512241109,3956971,2022-2024,Daily,state,Influenza
or,24.735957015974165,4217737,2022-2024,Daily,state,Influenza
pa,21.07734327349987,12801989,2022-2024,Daily,state,Influenza
ri,9.817603353070181,1059361,2022-2024,Daily,state,Influenza
sc,19.96060502561081,5148714,2022-2024,Daily,state,Influenza
sd,12.256508934626853,884659,2022-2024,Daily,state,Influenza
tn,19.056944777266306,6829174,2022-2024,Daily,state,Influenza
tx,27.13796446875817,28995881,2022-2024,Daily,state,Influenza
us,35.02928600577856,328239523,2022-2024,Daily,state,Influenza
ut,12.81509834886756,3205958,2022-2024,Daily,state,Influenza
va,20.492971972973272,8535519,2022-2024,Daily,state,Influenza
vt,11.053688140118101,623989,2022-2024,Daily,state,Influenza
wa,21.194769034172587,7614893,2022-2024,Daily,state,Influenza
wi,17.968081924106382,5822434,2022-2024,Daily,state,Influenza
wv,16.099201326663813,1792147,2022-2024,Daily,state,Influenza
wy,11.267693198997753,578759,2022-2024,Daily,state,Influenza
ak,11.211266289672928,731545,2022-2023,Daily,state,Influenza
al,19.951969451625406,4903185,2022-2023,Daily,state,Influenza
ar,18.023459258186637,3017804,2022-2023,Daily,state,Influenza
az,27.054612217430762,7278717,2022-2023,Daily,state,Influenza
ca,31.247493784085556,39512223,2022-2023,Daily,state,Influenza
co,12.123628700709277,5758736,2022-2023,Daily,state,Influenza
ct,16.644738082970655,3565287,2022-2023,Daily,state,Influenza
dc,12.992435005910252,705749,2022-2023,Daily,state,Influenza
de,19.017732440473733,973764,2022-2023,Daily,state,Influenza
fl,21.81568365245543,21477737,2022-2023,Daily,state,Influenza
ga,12.998038762332786,10617423,2022-2023,Daily,state,Influenza
hi,12.783990518474585,1415872,2022-2023,Daily,state,Influenza
ia,19.381959388138892,3155070,2022-2023,Daily,state,Influenza
id,15.97596193987486,1787065,2022-2023,Daily,state,Influenza
il,25.910457857510572,12671821,2022-2023,Daily,state,Influenza
in,24.23816062903743,6732219,2022-2023,Daily,state,Influenza
ks,20.997977878036167,2913314,2022-2023,Daily,state,Influenza
ky,24.253857648020382,4467673,2022-2023,Daily,state,Influenza
la,16.072479148849183,4648794,2022-2023,Daily,state,Influenza
ma,29.39294179369639,6892503,2022-2023,Daily,state,Influenza
md,20.508688468235025,6045680,2022-2023,Daily,state,Influenza
me,19.66492816427834,1344212,2022-2023,Daily,state,Influenza
mi,27.218081783051506,9986857,2022-2023,Daily,state,Influenza
mn,25.134833359295172,5639632,2022-2023,Daily,state,Influenza
mo,27.159152339873483,6137428,2022-2023,Daily,state,Influenza
ms,13.582417488604614,2976149,2022-2023,Daily,state,Influenza
mt,14.928354869189187,1068778,2022-2023,Daily,state,Influenza
nc,20.61671789886922,10488084,2022-2023,Daily,state,Influenza
nd,11.991376946988163,762062,2022-2023,Daily,state,Influenza
ne,13.532456462464815,1934408,2022-2023,Daily,state,Influenza
nh,18.65922502529439,1359711,2022-2023,Daily,state,Influenza
nj,26.002259081573985,8882190,2022-2023,Daily,state,Influenza
nm,18.080170583052336,2096829,2022-2023,Daily,state,Influenza
nv,20.088970134525887,3080156,2022-2023,Daily,state,Influenza
ny,31.98218805188987,19453561,2022-2023,Daily,state,Influenza
oh,27.469013407411136,11689100,2022-2023,Daily,state,Influenza
ok,30.36254802148779,3956971,2022-2023,Daily,state,Influenza
or,29.449653186365776,4217737,2022-2023,Daily,state,Influenza
pa,24.66262789258907,12801989,2022-2023,Daily,state,Influenza
ri,13.568182745108281,1059361,2022-2023,Daily,state,Influenza
sc,14.465876836214553,5148714,2022-2023,Daily,state,Influenza
sd,13.045209037636262,884659,2022-2023,Daily,state,Influenza
tn,20.20593594915252,6829174,2022-2023,Daily,state,Influenza
tx,28.59782419987812,28995881,2022-2023,Daily,state,Influenza
us,36.454624024600925,328239523,2022-2023,Daily,state,Influenza
ut,12.624948291174809,3205958,2022-2023,Daily,state,Influenza
va,19.51098310796929,8535519,2022-2023,Daily,state,Influenza
vt,12.366072976172926,623989,2022-2023,Daily,state,Influenza
wa,24.129970298742876,7614893,2022-2023,Daily,state,Influenza
wi,21.113764093465047,5822434,2022-2023,Daily,state,Influenza
wv,20.03637585278075,1792147,2022-2023,Daily,state,Influenza
wy,10.639680218907987,578759,2022-2023,Daily,state,Influenza
ak,10.541398766009557,731545,2023-2024,Daily,state,Influenza
al,18.228291453119773,4903185,2023-2024,Daily,state,Influenza
ar,14.469964549891179,3017804,2023-2024,Daily,state,Influenza
az,29.50153350361019,7278717,2023-2024,Daily,state,Influenza
ca,28.507748488735775,39512223,2023-2024,Daily,state,Influenza
co,13.358498271168639,5758736,2023-2024,Daily,state,Influenza
ct,13.98437734276634,3565287,2023-2024,Daily,state,Influenza
dc,10.883019765741675,705749,2023-2024,Daily,state,Influenza
de,11.674853829978682,973764,2023-2024,Daily,state,Influenza
fl,20.55943592082573,21477737,2023-2024,Daily,state,Influenza
ga,20.54266101761283,10617423,2023-2024,Daily,state,Influenza
hi,11.623928244836378,1415872,2023-2024,Daily,state,Influenza
ia,13.175129548104758,3155070,2023-2024,Daily,state,Influenza
id,14.805220275825315,1787065,2023-2024,Daily,state,Influenza
il,17.66142719849225,12671821,2023-2024,Daily,state,Influenza
in,19.88027207727584,6732219,2023-2024,Daily,state,Influenza
ks,16.881621645183,2913314,2023-2024,Daily,state,Influenza
ky,16.60967818140048,4467673,2023-2024,Daily,state,Influenza
la,17.786816444468613,4648794,2023-2024,Daily,state,Influenza
ma,22.440800757634662,6892503,2023-2024,Daily,state,Influenza
md,22.539049583372726,6045680,2023-2024,Daily,state,Influenza
me,12.022361834456374,1344212,2023-2024,Daily,state,Influenza
mi,19.350458585032946,9986857,2023-2024,Daily,state,Influenza
mn,13.607679476773027,5639632,2023-2024,Daily,state,Influenza
mo,17.023602971813744,6137428,2023-2024,Daily,state,Influenza
ms,14.604150246456637,2976149,2023-2024,Daily,state,Influenza
mt,11.471279737480678,1068778,2023-2024,Daily,state,Influenza
nc,25.69672868299353,10488084,2023-2024,Daily,state,Influenza
nd,10.812027132950474,762062,2023-2024,Daily,state,Influenza
ne,12.874338844461796,1934408,2023-2024,Daily,state,Influenza
nh,12.740877712674958,1359711,2023-2024,Daily,state,Influenza
nj,23.934909107673196,8882190,2023-2024,Daily,state,Influenza
nm,15.214295731457616,2096829,2023-2024,Daily,state,Influenza
nv,16.73211287078027,3080156,2023-2024,Daily,state,Influenza
ny,22.586325045614707,19453561,2023-2024,Daily,state,Influenza
oh,21.527245829881636,11689100,2023-2024,Daily,state,Influenza
ok,18.769081249191366,3956971,2023-2024,Daily,state,Influenza
or,11.809678309660788,4217737,2023-2024,Daily,state,Influenza
pa,18.163101414693173,12801989,2023-2024,Daily,state,Influenza
ri,11.14931726355859,1059361,2023-2024,Daily,state,Influenza
sc,25.863592943972602,5148714,2023-2024,Daily,state,Influenza
sd,13.282544801827589,884659,2023-2024,Daily,state,Influenza
tn,18.074433971142835,6829174,2023-2024,Daily,state,Influenza
tx,26.054694822151824,28995881,2023-2024,Daily,state,Influenza
us,37.060790084339466,328239523,2023-2024,Daily,state,Influenza
ut,11.753447468535494,3205958,2023-2024,Daily,state,Influenza
va,22.64658762856605,8535519,2023-2024,Daily,state,Influenza
vt,10.995502902678622,623989,2023-2024,Daily,state,Influenza
wa,14.514525979157533,7614893,2023-2024,Daily,state,Influenza
wi,13.592309437529549,5822434,2023-2024,Daily,state,Influenza
